unique_id,beta,voxel_num
ds001486_sub-0004,8.17055988311768,3096
ds001486_sub-0004,7.87212228775024,2889
ds001486_sub-0004,7.81928253173828,2890
ds001486_sub-0004,7.76184368133545,3083
ds001486_sub-0004,7.66048097610474,3084
ds001486_sub-0004,7.59165239334106,3097
ds001486_sub-0004,7.51874113082886,2876
ds001486_sub-0004,7.41171550750732,2901
ds001486_sub-0004,7.37468290328979,2902
ds001486_sub-0004,7.27691030502319,3095
ds001486_sub-0004,7.17923784255981,2695
ds001486_sub-0004,7.16583633422852,2888
ds001486_sub-0004,7.08574485778809,2694
ds001486_sub-0004,7.0705132484436,3303
ds001486_sub-0004,7.01095485687256,2875
ds001486_sub-0004,7.00867652893066,3291
ds001486_sub-0004,7.00364303588867,2682
ds001486_sub-0004,6.97861003875732,2877
ds001486_sub-0004,6.96189212799072,3304
ds001486_sub-0004,6.87498188018799,3108
ds001486_sub-0004,6.82156562805176,3109
ds001486_sub-0004,6.79837799072266,3290
ds001486_sub-0004,6.76596164703369,2683
ds001486_sub-0004,6.68932342529297,2900
ds001486_sub-0004,6.65007877349854,2891
ds001486_sub-0004,6.5215539932251,3082
ds001486_sub-0004,6.51619386672974,2506
ds001486_sub-0004,6.50832986831665,2706
ds001486_sub-0004,6.48264074325562,2903
ds001486_sub-0004,6.46964454650879,2334
ds001486_sub-0004,6.44332647323608,2681
ds001486_sub-0004,6.4154372215271,2915
ds001486_sub-0004,6.35908031463623,2518
ds001486_sub-0004,6.32779216766357,2517
ds001486_sub-0004,6.28684091567993,2696
ds001486_sub-0004,6.2551007270813,2707
ds001486_sub-0004,6.24524068832397,3107
ds001486_sub-0004,6.21148681640625,2670
ds001486_sub-0004,6.2010555267334,2505
ds001486_sub-0004,6.16688060760498,3085
ds001486_sub-0004,6.1229362487793,2333
ds001486_sub-0004,6.08421945571899,2914
ds001486_sub-0004,6.04588651657104,2887
ds001486_sub-0004,5.987548828125,2693
ds001486_sub-0004,5.97858905792236,2138
ds001486_sub-0004,5.93434762954712,1420
ds001486_sub-0004,5.91972637176514,2139
ds001486_sub-0004,5.9153995513916,2671
ds001486_sub-0004,5.90711069107056,3316
ds001486_sub-0004,5.89789390563965,2335
ds001486_sub-0004,5.88370943069458,3094
ds001486_sub-0004,5.87993049621582,2321
ds001486_sub-0004,5.87218284606934,2874
ds001486_sub-0004,5.85555791854858,3427
ds001486_sub-0004,5.85027456283569,2916
ds001486_sub-0004,5.84842920303345,3415
ds001486_sub-0004,5.84437417984009,2669
ds001486_sub-0004,5.83446836471558,2507
ds001486_sub-0004,5.79161596298218,1419
ds001486_sub-0004,5.78037452697754,2705
ds001486_sub-0004,5.76320648193359,3428
ds001486_sub-0004,5.75262069702148,2493
ds001486_sub-0004,5.74742937088013,2684
ds001486_sub-0004,5.72213840484619,3070
ds001486_sub-0004,5.71870517730713,3121
ds001486_sub-0004,5.69267129898071,3302
ds001486_sub-0004,5.68848609924316,3122
ds001486_sub-0004,5.65222978591919,3414
ds001486_sub-0004,5.64687919616699,2878
ds001486_sub-0004,5.64661884307861,3069
ds001486_sub-0004,5.64341735839844,3110
ds001486_sub-0004,5.63797616958618,2862
ds001486_sub-0004,5.60338544845581,2494
ds001486_sub-0004,5.58239698410034,3292
ds001486_sub-0004,5.56222248077393,3098
ds001486_sub-0004,5.50471210479736,2863
ds001486_sub-0004,5.49512577056885,2519
ds001486_sub-0004,5.46382761001587,3315
ds001486_sub-0004,5.46251821517944,2322
ds001486_sub-0004,5.43498945236206,1432
ds001486_sub-0004,5.41602659225464,1167
ds001486_sub-0004,5.39542198181152,1421
ds001486_sub-0004,5.38332557678223,2320
ds001486_sub-0004,5.37943983078003,2151
ds001486_sub-0004,5.34809684753418,1405
ds001486_sub-0004,5.32099103927612,2516
ds001486_sub-0004,5.29622983932495,1153
ds001486_sub-0004,5.28766298294067,3519
ds001486_sub-0004,5.2794942855835,1166
ds001486_sub-0004,5.26794052124023,1152
ds001486_sub-0004,5.26066637039185,1692
ds001486_sub-0004,5.25648307800293,1406
ds001486_sub-0004,5.24902677536011,3106
ds001486_sub-0004,5.24566173553467,2346
ds001486_sub-0004,5.24475717544556,1704
ds001486_sub-0004,5.2358078956604,3277
ds001486_sub-0004,5.23040008544922,2152
ds001486_sub-0004,5.21555852890015,3317
ds001486_sub-0004,5.21273422241211,2899
ds001486_sub-0004,5.20051670074463,3289
ds001486_sub-0005,5.15846300125122,973
