unique_id,beta,voxel_num
ds001486_sub-0004,9.77385330200195,24
ds001486_sub-0004,9.46465682983398,25
ds001486_sub-0004,9.24789619445801,226
ds001486_sub-0004,9.2305965423584,1493
ds001486_sub-0004,9.2181396484375,227
ds001486_sub-0004,9.20678520202637,34
ds001486_sub-0004,8.84735012054443,228
ds001486_sub-0004,8.81009292602539,35
ds001486_sub-0004,8.7901439666748,212
ds001486_sub-0004,8.69507884979248,225
ds001486_sub-0004,8.55211162567139,213
ds001486_sub-0004,8.38229465484619,214
ds001486_sub-0004,8.33312606811523,16
ds001486_sub-0004,8.30796146392822,241
ds001486_sub-0004,8.25070476531982,33
ds001486_sub-0004,8.17171192169189,26
ds001486_sub-0004,8.13576126098633,1074
ds001486_sub-0004,7.89178562164307,240
ds001486_sub-0004,7.82974624633789,242
ds001486_sub-0004,7.74435567855835,229
ds001486_sub-0004,7.53962707519531,215
ds001486_sub-0004,7.46190023422241,17
ds001486_sub-0004,7.2532696723938,36
ds001486_sub-0004,7.23172330856323,1492
ds001486_sub-0004,7.23015260696411,199
ds001486_sub-0004,7.19294786453247,1927
ds001486_sub-0004,7.13505887985229,473
ds001486_sub-0004,7.10075426101685,454
ds001486_sub-0004,7.07267045974731,200
ds001486_sub-0004,6.95530891418457,201
ds001486_sub-0004,6.89775896072388,1504
ds001486_sub-0004,6.85263252258301,455
ds001486_sub-0004,6.83873271942139,476
ds001486_sub-0004,6.83736896514893,472
ds001486_sub-0004,6.79553651809692,474
ds001486_sub-0004,6.75035190582275,493
ds001486_sub-0004,6.73300457000732,494
ds001486_sub-0004,6.70418119430542,495
ds001486_sub-0004,6.70155429840088,475
ds001486_sub-0004,6.61114358901978,437
ds001486_sub-0004,6.57808685302734,243
ds001486_sub-0004,6.57404518127441,46
ds001486_sub-0004,6.51106643676758,492
ds001486_sub-0004,6.46712350845337,239
ds001486_sub-0004,6.44616031646729,477
ds001486_sub-0004,6.31002712249756,47
ds001486_sub-0004,6.27363443374634,1073
ds001486_sub-0004,6.22330093383789,438
ds001486_sub-0004,6.20346450805664,496
ds001486_sub-0004,6.19167757034302,202
ds001486_sub-0004,6.17203569412231,456
ds001486_sub-0004,6.11333990097046,458
ds001486_sub-0004,6.04176044464111,27
ds001486_sub-0004,6.03505802154541,457
ds001486_sub-0004,5.97981595993042,1937
ds001486_sub-0004,5.91013431549072,1503
ds001486_sub-0004,5.89917993545532,255
ds001486_sub-0004,5.87173223495483,216
ds001486_sub-0004,5.82840776443481,18
ds001486_sub-0004,5.7843918800354,230
ds001486_sub-0004,5.77519989013672,513
ds001486_sub-0004,5.68429517745972,9
ds001486_sub-0004,5.67867755889893,453
ds001486_sub-0004,5.67365646362305,459
ds001486_sub-0004,5.65379047393799,1082
ds001486_sub-0004,5.60846948623657,514
ds001486_sub-0004,5.60170841217041,512
ds001486_sub-0004,5.58531141281128,423
ds001486_sub-0004,5.55511236190796,256
ds001486_sub-0004,5.52388477325439,491
ds001486_sub-0004,5.51850986480713,821
ds001486_sub-0004,5.35508346557617,439
ds001486_sub-0004,5.31336688995361,1926
ds001486_sub-0004,5.30381345748901,820
ds001486_sub-0004,5.2941689491272,45
ds001486_sub-0004,5.28009939193726,1234
ds001486_sub-0004,5.2674388885498,1670
ds001486_sub-0004,5.256667137146,764
ds001486_sub-0004,5.23328685760498,763
ds001486_sub-0004,5.23074579238892,2071
ds001486_sub-0004,5.19966316223145,478
ds001486_sub-0004,5.18494129180908,471
ds001486_sub-0004,5.17932033538818,1693
ds001486_sub-0004,5.15860652923584,779
ds001486_sub-0004,5.15112352371216,254
ds001486_sub-0004,5.14638662338257,1649
ds001486_sub-0004,5.14605951309204,802
ds001486_sub-0004,5.14575529098511,748
ds001486_sub-0004,5.1283597946167,1214
ds001486_sub-0004,5.12204122543335,1671
ds001486_sub-0004,5.11489963531494,1491
ds001486_sub-0004,5.10907983779907,37
ds001486_sub-0004,5.05362939834595,515
ds001486_sub-0004,5.03403759002686,842
ds001486_sub-0004,5.02544212341309,780
ds001486_sub-0004,5.00187158584595,801
ds001486_sub-0004,4.99830293655396,188
ds001486_sub-0004,4.99746084213257,203
ds001486_sub-0004,4.98793029785156,440
ds001486_sub-0004,4.9876012802124,2093
ds001486_sub-0005,4.91894578933716,714
ds001486_sub-0005,4.78129005432129,395
ds001486_sub-0005,4.63195610046387,720
ds001486_sub-0005,4.59959030151367,1120
ds001486_sub-0005,4.48618173599243,1
ds001486_sub-0005,4.4494366645813,711
ds001486_sub-0005,4.43168640136719,719
ds001486_sub-0005,4.41663789749146,715
ds001486_sub-0005,4.34976291656494,396
ds001486_sub-0005,4.29552888870239,1112
ds001486_sub-0005,4.29149961471558,401
ds001486_sub-0005,4.25544595718384,1119
ds001486_sub-0005,4.21639442443848,1128
ds001486_sub-0005,4.20046234130859,402
ds001486_sub-0005,4.17340755462646,4
ds001486_sub-0005,4.17219257354736,712
ds001486_sub-0005,4.14056730270386,1127
ds001486_sub-0005,4.12460851669312,721
ds001486_sub-0005,3.9834771156311,3
ds001486_sub-0005,3.9514536857605,734
ds001486_sub-0005,3.93643712997437,1121
ds001486_sub-0005,3.91530108451843,1493
ds001486_sub-0005,3.91120386123657,733
ds001486_sub-0005,3.90949034690857,411
ds001486_sub-0005,3.8738374710083,1557
ds001486_sub-0005,3.8292453289032,423
ds001486_sub-0005,3.82833003997803,1113
ds001486_sub-0005,3.82603240013123,403
ds001486_sub-0005,3.81570625305176,1556
ds001486_sub-0005,3.78563523292542,397
ds001486_sub-0005,3.7289707660675,454
ds001486_sub-0005,3.70953464508057,1546
ds001486_sub-0005,3.70749092102051,199
ds001486_sub-0005,3.69878721237183,438
ds001486_sub-0005,3.69259858131409,437
ds001486_sub-0005,3.68584489822388,1111
ds001486_sub-0005,3.6757550239563,412
ds001486_sub-0005,3.66513729095459,11
ds001486_sub-0005,3.66496467590332,1129
ds001486_sub-0005,3.6579384803772,716
ds001486_sub-0005,3.64817905426025,713
ds001486_sub-0005,3.64798545837402,735
ds001486_sub-0005,3.6373393535614,2
ds001486_sub-0005,3.62674164772034,1567
ds001486_sub-0005,3.61877417564392,424
ds001486_sub-0005,3.5781774520874,10
ds001486_sub-0005,3.56423234939575,718
ds001486_sub-0005,3.55790567398071,1104
ds001486_sub-0005,3.54687070846558,453
ds001486_sub-0005,3.53590273857117,732
ds001486_sub-0005,3.52634525299072,5
ds001486_sub-0005,3.52631664276123,1142
ds001486_sub-0005,3.49042129516602,455
ds001486_sub-0005,3.47555136680603,722
ds001486_sub-0005,3.47374820709229,1568
ds001486_sub-0005,3.46384429931641,1141
ds001486_sub-0005,3.45503735542297,398
ds001486_sub-0005,3.44052600860596,404
ds001486_sub-0005,3.42056894302368,188
ds001486_sub-0005,3.40578365325928,179
ds001486_sub-0005,3.39880681037903,178
ds001486_sub-0005,3.38991665840149,1126
ds001486_sub-0005,3.38651132583618,439
ds001486_sub-0005,3.38622140884399,413
ds001486_sub-0005,3.38596439361572,1105
ds001486_sub-0005,3.38192248344421,425
ds001486_sub-0005,3.37090301513672,200
ds001486_sub-0005,3.35134696960449,1545
ds001486_sub-0005,3.32240867614746,1143
ds001486_sub-0005,3.31954216957092,471
ds001486_sub-0005,3.31544828414917,1927
ds001486_sub-0005,3.3083233833313,750
ds001486_sub-0005,3.26562881469727,717
ds001486_sub-0005,3.25071597099304,1504
ds001486_sub-0005,3.25043487548828,190
ds001486_sub-0005,3.24888849258423,189
ds001486_sub-0005,3.23806238174438,751
ds001486_sub-0005,3.22377300262451,472
ds001486_sub-0005,3.21527194976807,1535
ds001486_sub-0005,3.21250653266907,440
ds001486_sub-0005,3.1990761756897,749
ds001486_sub-0005,3.1975154876709,736
ds001486_sub-0005,3.17373871803284,201
ds001486_sub-0005,3.17173480987549,1547
ds001486_sub-0005,3.17077827453613,9
ds001486_sub-0005,3.16531896591187,426
ds001486_sub-0005,3.16252899169922,1140
ds001486_sub-0005,3.15964913368225,1566
ds001486_sub-0005,3.1576204299926798,405
ds001486_sub-0005,3.14999866485596,2151
ds001486_sub-0005,3.13334989547729,180
ds001486_sub-0005,3.13299703598022,1558
ds001486_sub-0005,3.12179470062256,202
ds001486_sub-0005,3.12112474441528,441
ds001486_sub-0005,3.11991167068481,456
ds001486_sub-0005,3.11077380180359,203
ds001486_sub-0005,3.10554695129395,2178
ds001486_sub-0005,3.09718036651611,1122
ds001486_sub-0005,3.08812284469604,1114
ds001486_sub-0005,3.08656144142151,723
ds001486_sub-0006,5.30449104309082,1066
ds001486_sub-0006,4.80921840667725,2941
ds001486_sub-0006,4.71110534667969,2554
ds001486_sub-0006,4.68276834487915,1067
ds001486_sub-0006,4.62493085861206,2564
ds001486_sub-0006,4.57720756530762,2782
ds001486_sub-0006,4.54544401168823,2929
ds001486_sub-0006,4.53125,2770
ds001486_sub-0006,4.38278007507324,1075
ds001486_sub-0006,4.36081790924072,2553
ds001486_sub-0006,4.30954456329346,2822
ds001486_sub-0006,4.25870513916016,2806
ds001486_sub-0006,4.2527289390564,2796
ds001486_sub-0006,4.23701763153076,2577
ds001486_sub-0006,4.2260160446167,1485
