unique_id,beta,voxel_num
ds001486_sub-0004,5.199951171875,775
ds001486_sub-0004,5.14309930801392,629
ds001486_sub-0004,5.03853988647461,761
ds001486_sub-0004,4.97701930999756,615
ds001486_sub-0004,4.8302264213562,774
ds001486_sub-0004,4.80881690979004,616
ds001486_sub-0004,4.62603187561035,630
ds001486_sub-0004,4.55515193939209,910
ds001486_sub-0004,4.52683162689209,790
ds001486_sub-0004,4.51118993759155,644
ds001486_sub-0004,4.47425174713135,762
ds001486_sub-0004,4.45111513137817,760
ds001486_sub-0004,4.44416618347168,789
ds001486_sub-0004,4.44057369232178,899
ds001486_sub-0004,4.3801155090332,776
ds001486_sub-0004,4.34549188613892,1059
ds001486_sub-0004,4.26713180541992,628
ds001486_sub-0004,4.23803567886353,911
ds001486_sub-0004,4.22534990310669,900
ds001486_sub-0004,4.22525215148926,1170
ds001486_sub-0004,4.19820070266724,1060
ds001486_sub-0004,4.1552562713623,1028
ds001486_sub-0004,4.1213231086731,909
ds001486_sub-0004,4.11214303970337,1017
ds001486_sub-0004,4.09471654891968,603
ds001486_sub-0004,4.08071041107178,643
ds001486_sub-0004,4.07374095916748,1159
ds001486_sub-0004,4.02336740493774,488
ds001486_sub-0004,4.00089550018311,1029
ds001486_sub-0004,3.97892546653748,898
ds001486_sub-0004,3.97343349456787,923
ds001486_sub-0004,3.97303009033203,1211
ds001486_sub-0004,3.95217967033386,1058
ds001486_sub-0004,3.94619941711426,476
ds001486_sub-0004,3.9265239238739,1171
ds001486_sub-0004,3.92369651794434,1160
ds001486_sub-0004,3.91335821151733,475
ds001486_sub-0004,3.90747737884521,1018
ds001486_sub-0004,3.89977407455444,748
ds001486_sub-0004,3.88380718231201,645
ds001486_sub-0004,3.86771202087402,1039
ds001486_sub-0004,3.85308647155762,922
ds001486_sub-0004,3.84792423248291,614
ds001486_sub-0004,3.84442472457886,1070
ds001486_sub-0004,3.83339858055115,749
ds001486_sub-0004,3.82820439338684,1061
ds001486_sub-0004,3.81823587417603,1212
ds001486_sub-0004,3.8032808303833,602
ds001486_sub-0004,3.77464079856873,791
ds001486_sub-0004,3.77029252052307,1027
ds001486_sub-0004,3.74861574172974,489
ds001486_sub-0004,3.72096967697144,1169
ds001486_sub-0004,3.71282410621643,1319
ds001486_sub-0004,3.70645475387573,1320
ds001486_sub-0004,3.70490550994873,1181
ds001486_sub-0004,3.68977832794189,1071
ds001486_sub-0004,3.67647886276245,1040
ds001486_sub-0004,3.66376161575317,889
ds001486_sub-0004,3.64750695228577,1038
ds001486_sub-0004,3.63666677474976,1016
ds001486_sub-0004,3.62024164199829,1047
ds001486_sub-0004,3.5911853313446,1048
ds001486_sub-0004,3.58766913414001,924
ds001486_sub-0004,3.56587791442871,1049
ds001486_sub-0004,3.56344652175903,773
ds001486_sub-0004,3.56048583984375,1050
ds001486_sub-0004,3.55948448181152,788
ds001486_sub-0004,3.55933833122253,1223
ds001486_sub-0004,3.55902814865112,1330
ds001486_sub-0004,3.55487680435181,617
ds001486_sub-0004,3.55095767974854,1006
ds001486_sub-0004,3.51782989501953,803
ds001486_sub-0004,3.51478910446167,1210
ds001486_sub-0004,3.51288104057312,1180
ds001486_sub-0004,3.51169180870056,500
ds001486_sub-0004,3.51153135299683,890
ds001486_sub-0004,3.50362634658813,658
ds001486_sub-0004,3.48021197319031,804
ds001486_sub-0004,3.4787585735321,931
ds001486_sub-0004,3.44244623184204,1331
ds001486_sub-0004,3.42833399772644,2027
ds001486_sub-0004,3.4224910736084,604
ds001486_sub-0004,3.41617751121521,1007
ds001486_sub-0004,3.41593956947327,1046
ds001486_sub-0004,3.41547107696533,888
