unique_id,beta,voxel_num
ds001486_sub-0004,8.429713011171302,1493
ds001486_sub-0004,8.315019595901187,24
ds001486_sub-0004,8.148622955981141,25
ds001486_sub-0004,8.066615055185995,226
ds001486_sub-0004,7.986231170063887,227
ds001486_sub-0004,7.970703330375176,212
ds001486_sub-0004,7.771130767930014,213
ds001486_sub-0004,7.676518346618619,34
ds001486_sub-0004,7.649302073094304,228
ds001486_sub-0004,7.628279734277159,225
ds001486_sub-0004,7.522541346233448,214
ds001486_sub-0004,7.454974771311539,35
ds001486_sub-0004,7.36039265568156,16
ds001486_sub-0004,7.303331223506365,1074
ds001486_sub-0004,7.244760930038193,26
ds001486_sub-0004,6.966807342613414,33
ds001486_sub-0004,6.933439442474791,241
ds001486_sub-0004,6.880459483099742,229
ds001486_sub-0004,6.839414080256952,1927
ds001486_sub-0004,6.82052311685049,1492
ds001486_sub-0004,6.776470267994509,199
ds001486_sub-0004,6.734256483599147,240
ds001486_sub-0004,6.733560741576652,215
ds001486_sub-0004,6.642345595400164,17
ds001486_sub-0004,6.627728413931712,200
ds001486_sub-0004,6.610799487345233,454
ds001486_sub-0004,6.5733754080974975,242
ds001486_sub-0004,6.542951492314931,473
ds001486_sub-0004,6.4226898014785885,201
ds001486_sub-0004,6.413864648891254,36
ds001486_sub-0004,6.399495320805128,1504
ds001486_sub-0004,6.368197538865713,455
ds001486_sub-0004,6.318871738083535,474
ds001486_sub-0004,6.314727961743739,476
ds001486_sub-0004,6.2917003644264184,472
ds001486_sub-0004,6.280806383808326,437
ds001486_sub-0004,6.275156275393186,475
ds001486_sub-0004,6.172205591207458,493
ds001486_sub-0004,6.088104014157528,494
ds001486_sub-0004,5.963837261804462,495
ds001486_sub-0004,5.932878063834141,492
ds001486_sub-0004,5.928851324197155,438
ds001486_sub-0004,5.90794686572996,477
ds001486_sub-0004,5.88229407860578,1073
ds001486_sub-0004,5.849818404223637,243
ds001486_sub-0004,5.80366895626636,456
ds001486_sub-0004,5.8020985643561005,458
ds001486_sub-0004,5.7330473370109445,457
ds001486_sub-0004,5.668919039317817,496
ds001486_sub-0004,5.662620814760224,239
ds001486_sub-0004,5.661535765530619,1937
ds001486_sub-0004,5.632565128438173,202
ds001486_sub-0004,5.615915120684539,1503
ds001486_sub-0004,5.507298107956382,27
ds001486_sub-0004,5.5000136652922995,423
ds001486_sub-0004,5.455489283584884,46
ds001486_sub-0004,5.41472594984851,453
ds001486_sub-0004,5.363310660110255,216
ds001486_sub-0004,5.3500151317583216,748
ds001486_sub-0004,5.346525869979304,230
ds001486_sub-0004,5.3079769515314705,459
ds001486_sub-0004,5.282048765807374,18
ds001486_sub-0004,5.262987306613605,821
ds001486_sub-0004,5.248597669586815,764
ds001486_sub-0004,5.245531983675526,47
ds001486_sub-0004,5.183305720495456,1670
ds001486_sub-0004,5.168503644364848,1082
ds001486_sub-0004,5.129730583652844,439
ds001486_sub-0004,5.114062118428349,1234
ds001486_sub-0004,5.106169998593026,9
ds001486_sub-0004,5.0881905060831425,1926
ds001486_sub-0004,5.085340568658006,820
ds001486_sub-0004,5.078993628348028,763
ds001486_sub-0004,5.0671121319655645,1214
ds001486_sub-0004,5.0634193741134865,491
ds001486_sub-0004,5.002071471509668,513
ds001486_sub-0004,4.989551118553526,512
ds001486_sub-0004,4.97691607099666,1693
ds001486_sub-0004,4.97380159589504,802
ds001486_sub-0004,4.964757160588347,1491
ds001486_sub-0004,4.950255152891932,1649
ds001486_sub-0004,4.90635826223734,747
ds001486_sub-0004,4.900439711931895,801
ds001486_sub-0004,4.894053309647082,1671
ds001486_sub-0004,4.881647670582977,478
ds001486_sub-0004,4.87968442569172,471
ds001486_sub-0004,4.847398510955811,2071
ds001486_sub-0004,4.841168707284768,732
ds001486_sub-0004,4.835889845033465,779
ds001486_sub-0004,4.83425186630054,514
ds001486_sub-0004,4.796359667455762,780
ds001486_sub-0004,4.788583352603104,255
ds001486_sub-0004,4.785973730277513,440
ds001486_sub-0004,4.772171095063435,2092
ds001486_sub-0004,4.726214781527371,842
ds001486_sub-0004,4.704306723891271,1072
ds001486_sub-0004,4.698623021152114,37
ds001486_sub-0004,4.6909271457890895,1215
ds001486_sub-0004,4.663593357153643,188
ds001486_sub-0004,4.659612127043957,1081
ds001486_sub-0005,4.640177844809893,395
ds001486_sub-0005,4.635585680338773,714
ds001486_sub-0005,4.590031672767386,720
ds001486_sub-0005,4.563605964890847,719
ds001486_sub-0005,4.415047296892124,401
ds001486_sub-0005,4.334922299127049,1120
ds001486_sub-0005,4.204875505672557,1119
ds001486_sub-0005,4.197788897374772,402
ds001486_sub-0005,4.186861240246499,1127
ds001486_sub-0005,4.141670075863782,1128
ds001486_sub-0005,4.110601603410851,396
ds001486_sub-0005,4.102906281804663,711
ds001486_sub-0005,4.1027543598674505,733
ds001486_sub-0005,4.059815552418649,715
ds001486_sub-0005,4.041549331284664,734
ds001486_sub-0005,3.975423556153023,411
ds001486_sub-0005,3.971379948468734,1112
ds001486_sub-0005,3.925843216029428,721
ds001486_sub-0005,3.918417886412557,1
ds001486_sub-0005,3.784529336556217,712
ds001486_sub-0005,3.752900015587191,423
ds001486_sub-0005,3.704037873587598,403
ds001486_sub-0005,3.7032380184846616,4
ds001486_sub-0005,3.687363986596077,718
ds001486_sub-0005,3.677836224950613,412
ds001486_sub-0005,3.667878037597517,1556
ds001486_sub-0005,3.6631258405219698,732
ds001486_sub-0005,3.635805224595307,1121
ds001486_sub-0005,3.632386946609631,1493
ds001486_sub-0005,3.631693109237011,1557
ds001486_sub-0005,3.573544124788214,424
ds001486_sub-0005,3.573045837677334,735
ds001486_sub-0005,3.567976345945807,1111
ds001486_sub-0005,3.5574192424740705,3
ds001486_sub-0005,3.539365133296005,397
ds001486_sub-0005,3.536165871538812,1142
ds001486_sub-0005,3.518194010669791,438
ds001486_sub-0005,3.5146011183444967,1141
ds001486_sub-0005,3.5096424192095315,199
ds001486_sub-0005,3.4945564707634036,1113
ds001486_sub-0005,3.48969111603013,1129
ds001486_sub-0005,3.4777519687830813,1546
ds001486_sub-0005,3.4730331600252553,437
ds001486_sub-0005,3.455768778758798,1567
ds001486_sub-0005,3.450932261113543,454
ds001486_sub-0005,3.4481546879271177,1126
ds001486_sub-0005,3.36791981854671,716
ds001486_sub-0005,3.35901102148575,750
ds001486_sub-0005,3.3463446040713833,453
ds001486_sub-0005,3.3362431705706475,425
ds001486_sub-0005,3.3225941776924652,1104
ds001486_sub-0005,3.317711534248459,713
ds001486_sub-0005,3.316891983001712,11
ds001486_sub-0005,3.3127945182698193,413
ds001486_sub-0005,3.2800541632754845,749
ds001486_sub-0005,3.278191802400109,1568
ds001486_sub-0005,3.2715971196607168,404
ds001486_sub-0005,3.267568501649625,439
ds001486_sub-0005,3.2611268770953585,722
