unique_id,include95,include90,include85,include80,include75,include70,include65,include60
ds001894_sub-0002,6,6,6,6,6,6,6,6
ds001894_sub-0003,6,6,6,6,6,6,6,6
ds001894_sub-0004,3,4,5,5,6,6,6,6
ds001894_sub-0006,6,6,6,6,6,6,6,6
ds001894_sub-0007,6,6,6,6,6,6,6,6
ds001894_sub-0008,5,6,6,6,6,6,6,6
ds001894_sub-0009,2,3,4,5,5,6,6,6
ds001894_sub-0010,3,4,5,5,6,6,6,6
ds001894_sub-0011,3,5,6,6,6,6,6,6
ds001894_sub-0012,6,6,6,6,6,6,6,6
ds001894_sub-0013,6,6,6,6,6,6,6,6
ds001894_sub-0014,2,3,6,6,6,6,6,6
ds001894_sub-0016,6,6,6,6,6,6,6,6
ds001894_sub-0017,5,6,6,6,6,6,6,6
ds001894_sub-0018,4,6,6,6,6,6,6,6
ds001894_sub-0019,3,4,6,6,6,6,6,6
ds001894_sub-0020,4,4,5,6,6,6,6,6
ds001894_sub-0021,1,2,3,4,4,5,5,5
ds001894_sub-0022,6,6,6,6,6,6,6,6
ds001894_sub-0023,4,6,6,6,6,6,6,6
ds001894_sub-0025,6,6,6,6,6,6,6,6
ds001894_sub-0026,5,5,6,6,6,6,6,6
ds001894_sub-0027,4,5,6,6,6,6,6,6
ds001894_sub-0029,5,6,6,6,6,6,6,6
ds001894_sub-0030,6,6,6,6,6,6,6,6
ds001894_sub-0032,4,6,6,6,6,6,6,6
ds001894_sub-0035,5,6,6,6,6,6,6,6
ds001894_sub-0036,6,6,6,6,6,6,6,6
ds001894_sub-0037,5,6,6,6,6,6,6,6
ds001894_sub-0038,3,4,4,5,6,6,6,6
ds001894_sub-0039,6,6,6,6,6,6,6,6
ds001894_sub-0040,4,6,6,6,6,6,6,6
ds001894_sub-0041,5,6,6,6,6,6,6,6
ds001894_sub-0043,5,6,6,6,6,6,6,6
ds001894_sub-0044,4,6,6,6,6,6,6,6
ds001894_sub-0045,2,3,6,6,6,6,6,6
ds001894_sub-0046,3,4,5,6,6,6,6,6
ds001894_sub-0048,4,6,6,6,6,6,6,6
ds001894_sub-0050,5,6,6,6,6,6,6,6
ds001894_sub-0052,4,5,5,6,6,6,6,6
ds001894_sub-0053,6,6,6,6,6,6,6,6
ds001894_sub-0054,6,6,6,6,6,6,6,6
ds001894_sub-0055,6,6,6,6,6,6,6,6
