unique_id,dataset,participant_id,session,task,acquisition,run,onset,duration,trial_type,condition,response_time,accuracy,stim1,stim2
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,1.51,4.799,3,O+P-,1233,1,T3_post.bmp,T1_cost.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,6.309,5.316,5,perceptual,1162,1,_F3_o4.bmp,_F2_o4.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,11.625,4.8,2,O-P+,1734,1,T3_rum.bmp,T1_numb.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,16.425,5.799,7,control,1127,1,Gen/_Fix_Green.bmp,Gen/_Fix_Green.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,22.224,4.799,6,perceptual,1055,1,_F3_s6.bmp,_F0_e6.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,27.023,4.8,1,O+P+,1128,1,T3_fought.bmp,T1_sought.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,31.823,4.799,1,O+P+,1121,1,T3_scheme.bmp,T2_theme.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,36.622,4.816,5,perceptual,977,1,_F3_f4.bmp,_F0_f4.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,41.438,5.299,1,O+P+,1145,1,T3_stool.bmp,T0_fool.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,46.737,5.3,1,O+P+,1158,1,T3_soak.bmp,T0_oak.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,52.037,5.299,3,O+P-,1155,1,T3_threat.bmp,T1_wheat.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,57.336,4.799,1,O+P+,1095,1,T3_thread.bmp,T0_spread.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,62.135,5.8,2,O-P+,1184,1,T3_pile.bmp,T1_trial.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,67.935,5.815,4,O-P-,3185,1,T3_swap.bmp,T2_watch.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,73.75,5.783,8,control,897,1,Gen/_Fix_Green.bmp,Gen/_Fix_Red.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,79.533,5.299,4,O-P-,1770,1,T3_tough.bmp,T1_dull.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,84.832,5.8,6,perceptual,1279,1,_F3_o4.bmp,_F2_b4.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,90.632,5.799,1,O+P+,960,1,T3_sweep.bmp,T0_creep.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,96.431,5.816,6,perceptual,856,1,_F3_d6.bmp,_F1_o6.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,102.247,4.799,8,control,952,1,Gen/_Fix_Green.bmp,Gen/_Fix_Red.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,107.046,4.799,2,O-P+,1225,1,T3_stroke.bmp,T1_soak.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,111.845,5.317,4,O-P-,1202,1,T3_trial.bmp,T0_fall.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,117.162,5.799,5,perceptual,814,1,_F3_s6.bmp,_F0_s6.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,122.961,4.816,7,control,910,1,Gen/_Fix_Green.bmp,Gen/_Fix_Green.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,127.777,4.799,8,control,734,1,Gen/_Fix_Red.bmp,Gen/_Fix_Green.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,132.576,5.3,7,control,1087,1,Gen/_Fix_Red.bmp,Gen/_Fix_Red.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,137.876,4.799,1,O+P+,1012,1,T3_beef.bmp,T1_reef.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,142.675,5.799,3,O+P-,2700,0,T3_wart.bmp,T1_smart.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,148.474,5.799,3,O+P-,2413,1,T3_dose.bmp,T0_pose.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,154.273,4.816,3,O+P-,1190,1,T3_touch.bmp,T1_couch.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,159.089,4.8,6,perceptual,1430,1,_F3_e6.bmp,_F0_s6.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,163.889,5.799,8,control,1318,1,Gen/_Fix_Green.bmp,Gen/_Fix_Red.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,169.688,5.799,7,control,999,1,Gen/_Fix_Green.bmp,Gen/_Fix_Green.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,175.487,5.3,8,control,768,1,Gen/_Fix_Red.bmp,Gen/_Fix_Green.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,180.787,4.816,7,control,1085,1,Gen/_Fix_Red.bmp,Gen/_Fix_Red.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,185.603,5.299,4,O-P-,1172,1,T3_port.bmp,T1_warm.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,190.902,5.799,2,O-P+,1121,1,T3_june.bmp,T2_noon.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,196.701,4.783,4,O-P-,3074,1,T3_wreath.bmp,T0_leap.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,201.484,4.799,5,perceptual,2451,1,_F3_b6.bmp,_F2_b6.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,206.283,5.3,3,O+P-,1076,1,T3_glove.bmp,T0_stove.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,211.583,5.815,1,O+P+,1225,1,T3_numb.bmp,T1_crumb.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,217.398,4.8,3,O+P-,1489,1,T3_stood.bmp,T2_flood.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,222.198,5.299,5,perceptual,929,1,_F3_s4.bmp,_F1_s4.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,227.497,5.799,4,O-P-,1102,1,T3_smart.bmp,T1_drought.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,233.296,5.3,2,O-P+,927,1,T3_stir.bmp,T2_blur.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,238.596,5.316,8,control,723,1,Gen/_Fix_Red.bmp,Gen/_Fix_Green.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,243.912,5.316,7,control,831,1,Gen/_Fix_Red.bmp,Gen/_Fix_Red.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,249.228,5.799,3,O+P-,1099,1,T3_pool.bmp,T0_wool.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,255.027,5.299,3,O+P-,1660,1,T3_fought.bmp,T2_drought.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,260.326,4.8,2,O-P+,1121,1,T3_flight.bmp,T1_spite.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,265.126,5.299,2,O-P+,1057,1,T3_scheme.bmp,T0_cream.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,270.425,5.316,6,perceptual,1134,1,_F3_b6.bmp,_F2_f6.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,275.741,5.799,4,O-P-,1554,1,T3_ghost.bmp,T0_pose.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,281.54,4.8,4,O-P-,1227,1,T3_grace.bmp,T1_fence.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,286.34,4.799,3,O+P-,900,0,T3_dull.bmp,T2_bull.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,291.139,4.799,4,O-P-,1212,1,T3_ford.bmp,T2_rod.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,295.938,5.3,1,O+P+,733,1,T3_strap.bmp,T2_gap.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,301.238,5.316,4,O-P-,977,1,T3_stamp.bmp,T2_tomb.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,306.554,5.299,2,O-P+,789,1,T3_wheel.bmp,T0_deal.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,311.853,5.299,2,O-P+,930,1,T3_leap.bmp,T2_sweep.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,317.152,4.8,4,O-P-,839,1,T3_fault.bmp,T2_note.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,321.952,5.799,1,O+P+,847,1,T3_bull.bmp,T2_full.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,327.751,5.782,2,O-P+,960,1,T3_chase.bmp,T2_grace.bmp
ds006239_sub-1002,ds006239,sub-1002,ses-1,task-ReadPhon,acq-D2S0401,run-1,333.533,4.816,2,O-P+,994,1,T3_float.bmp,T0_note.bmp
