unique_id,dataset,participant_id,session,task,acquisition,run,onset,duration,trial_type,condition,response_time,accuracy,stim1,stim2
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,0,4,2,O+P-,2.112,0,post.bmp,cost.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,4.01700000000005,4,5,control,2.01,1,blackcross.bmp,blackcross.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,8.03300000000013,4.4,6,perceptual,1.636,1,o.bmp,p.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,12.451,4,3,O-P+,1.707,1,rum.bmp,numb.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,16.4680000000001,4.8,5,control,2.078,1,blackcross.bmp,blackcross.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,21.2740000000001,4,6,perceptual,1.739,1,c.bmp,u.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,25.2900000000002,4,1,O+P+,2.327,1,fought.bmp,sought.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,29.307,4,1,O+P+,1.58,1,scheme.bmp,theme.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,33.3230000000001,4,6,perceptual,1.516,1,m.bmp,n.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,37.3400000000001,4.4,1,O+P+,1.947,0,stool.bmp,fool.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,41.758,4.4,5,control,1.692,1,blackcross.bmp,blackcross.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,46.1760000000002,4.4,1,O+P+,2.067,1,soak.bmp,oak.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,50.594,4.4,2,O+P-,2.031,1,threat.bmp,wheat.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,55.0120000000002,4,1,O+P+,NA,0,thread.bmp,spread.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,59.028,4.4,3,O-P+,1.995,0,pile.bmp,trial.bmp
ds001894_sub-0001,ds001894,sub-001,ses-T1,task-VVWord,,run-01,63.4460000000001,4.8,4,O-P-,1.684,1,swap.bmp,watch.bmp
