unique_id,n_correct_O+P+,n_correct_O+P-,n_correct_O-P+,n_correct_O-P-,n_correct_nci,n_trial_O+P+,n_trial_O+P-,n_trial_O-P+,n_trial_O-P-,n_trial,n_trial_nci,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,mean_acc_nci,response_bias,exclude
ds001894_sub-0001,19,20,21,19,38,24,24,24,24,96,48,0.792,0.833,0.875,0.792,0.792,0,NA
ds001894_sub-0002,24,19,22,22,46,24,24,24,24,96,48,1,0.792,0.917,0.917,0.958,0.08299999999999996,NA
ds001894_sub-0003,24,6,23,18,42,24,24,24,24,96,48,1,0.25,0.958,0.75,0.875,0.25,NA
ds001894_sub-0004,23,23,24,23,46,24,24,24,24,96,48,0.958,0.958,1,0.958,0.958,0,NA
ds001894_sub-0005,24,16,22,24,48,24,24,24,24,96,48,1,0.667,0.917,1,1,0,NA
ds001894_sub-0006,23,14,21,23,46,24,24,24,24,96,48,0.958,0.583,0.875,0.958,0.958,0,NA
ds001894_sub-0007,17,10,19,17,34,24,24,24,24,96,48,0.708,0.417,0.792,0.708,0.708,0,NA
ds001894_sub-0008,23,18,24,24,47,24,24,24,24,96,48,0.958,0.75,1,1,0.979,0.04200000000000004,NA
ds001894_sub-0009,23,7,22,18,41,24,24,24,24,96,48,0.958,0.292,0.917,0.75,0.854,0.20799999999999996,NA
ds001894_sub-0010,21,20,23,22,43,24,24,24,24,96,48,0.875,0.833,0.958,0.917,0.896,0.04200000000000004,NA
ds001894_sub-0011,24,22,23,24,48,24,24,24,24,96,48,1,0.917,0.958,1,1,0,NA
ds001894_sub-0012,16,7,15,9,25,24,24,24,24,96,48,0.667,0.292,0.625,0.375,0.521,0.29200000000000004,NA
ds001894_sub-0013,22,12,14,21,43,24,24,24,24,96,48,0.917,0.5,0.583,0.875,0.896,0.04200000000000004,NA
ds001894_sub-0014,21,8,21,20,41,24,24,24,24,96,48,0.875,0.333,0.875,0.833,0.854,0.04200000000000004,NA
ds001894_sub-0016,24,19,24,23,47,24,24,24,24,96,48,1,0.792,1,0.958,0.979,0.04200000000000004,NA
