unique_id,dataset,subject_id,num_repaired,total_deweighted
ds001894_sub-0010,ds001894,sub-010,0,0
ds001894_sub-0011,ds001894,sub-011,0,0
ds001894_sub-0012,ds001894,sub-012,0,0
ds001894_sub-0013,ds001894,sub-013,16,0.16
ds001894_sub-0014,ds001894,sub-014,4,0.04
ds001894_sub-0016,ds001894,sub-016,0,0
ds001894_sub-0017,ds001894,sub-017,0,0
ds001894_sub-0018,ds001894,sub-018,0,0
ds001894_sub-0019,ds001894,sub-019,7,0.07
ds001894_sub-0020,ds001894,sub-020,9,0.09
ds001894_sub-0021,ds001894,sub-021,0,0
ds001894_sub-0022,ds001894,sub-022,0,0
ds001894_sub-0023,ds001894,sub-023,2,0.02
ds001894_sub-0025,ds001894,sub-025,15,0.15
ds001894_sub-0026,ds001894,sub-026,0,0
ds001894_sub-0027,ds001894,sub-027,0,0
ds001894_sub-0029,ds001894,sub-029,0,0
ds001894_sub-0030,ds001894,sub-030,2,0.02
ds001894_sub-0032,ds001894,sub-032,2,0.02
ds001894_sub-0035,ds001894,sub-035,0,0
ds001894_sub-0036,ds001894,sub-036,0,0
ds001894_sub-0037,ds001894,sub-037,21,0.21
ds001894_sub-0038,ds001894,sub-038,0,0
ds001894_sub-0039,ds001894,sub-039,0,0
ds001894_sub-0040,ds001894,sub-040,10,0.1
ds001894_sub-0041,ds001894,sub-041,6,0.06
ds001894_sub-0043,ds001894,sub-043,0,0
ds001894_sub-0044,ds001894,sub-044,0,0
ds001894_sub-0045,ds001894,sub-045,13,0.13
ds001894_sub-0046,ds001894,sub-046,0,0
ds001894_sub-0048,ds001894,sub-048,0,0
ds001894_sub-0050,ds001894,sub-050,0,0
ds001894_sub-0052,ds001894,sub-052,0,0
ds001894_sub-0053,ds001894,sub-053,0,0
ds001894_sub-0054,ds001894,sub-054,36,0.36
ds001894_sub-0055,ds001894,sub-055,0,0
ds001894_sub-0056,ds001894,sub-056,0,0
ds001894_sub-0057,ds001894,sub-057,0,0
ds001894_sub-0058,ds001894,sub-058,31,0.31
ds001894_sub-0059,ds001894,sub-059,0,0
ds001894_sub-0060,ds001894,sub-060,0,0
ds001894_sub-0061,ds001894,sub-061,20,0.2
ds001894_sub-0062,ds001894,sub-062,0,0
ds001894_sub-0063,ds001894,sub-063,0,0
ds001894_sub-0066,ds001894,sub-066,0,0
ds001894_sub-0067,ds001894,sub-067,0,0
ds001894_sub-0068,ds001894,sub-068,0,0
ds001894_sub-0070,ds001894,sub-070,2,0.02
ds001894_sub-0071,ds001894,sub-071,0,0
ds001894_sub-0074,ds001894,sub-074,0,0
ds001894_sub-0075,ds001894,sub-075,13,0.13
ds001894_sub-0076,ds001894,sub-076,0,0
ds001894_sub-0077,ds001894,sub-077,0,0
ds001894_sub-0081,ds001894,sub-081,0,0
ds001894_sub-0082,ds001894,sub-082,0,0
ds001894_sub-0084,ds001894,sub-084,0,0
ds001894_sub-0085,ds001894,sub-085,4,0.04
ds001894_sub-0086,ds001894,sub-086,2,0.02
ds001894_sub-0087,ds001894,sub-087,0,0
ds001894_sub-0089,ds001894,sub-089,0,0
ds001894_sub-0090,ds001894,sub-090,6,0.06
ds001894_sub-0091,ds001894,sub-091,13,0.13
ds001894_sub-0093,ds001894,sub-093,0,0
ds001894_sub-0094,ds001894,sub-094,12,0.12
ds001894_sub-0096,ds001894,sub-096,4,0.04
ds001894_sub-0098,ds001894,sub-098,0,0
ds001894_sub-0100,ds001894,sub-100,8,0.08
ds001894_sub-0101,ds001894,sub-101,0,0
ds001894_sub-0102,ds001894,sub-102,0,0
ds001894_sub-0104,ds001894,sub-104,14,0.14
ds001894_sub-0108,ds001894,sub-108,0,0
ds001894_sub-0110,ds001894,sub-110,0,0
ds001894_sub-0111,ds001894,sub-111,0,0
ds001894_sub-0112,ds001894,sub-112,0,0
ds001894_sub-0115,ds001894,sub-115,5,0.05
ds001894_sub-0116,ds001894,sub-116,0,0
ds001894_sub-0117,ds001894,sub-117,0,0
ds001894_sub-0119,ds001894,sub-119,1,0.01
ds001894_sub-0120,ds001894,sub-120,0,0
ds001894_sub-0123,ds001894,sub-123,0,0
ds001894_sub-0125,ds001894,sub-125,0,0
ds001894_sub-0127,ds001894,sub-127,23,0.23
ds001894_sub-0128,ds001894,sub-128,0,0
ds001894_sub-0131,ds001894,sub-131,4,0.04
ds001894_sub-0132,ds001894,sub-132,0,0
ds001894_sub-0133,ds001894,sub-133,0,0
ds001894_sub-0134,ds001894,sub-134,0,0
ds001894_sub-0135,ds001894,sub-135,0,0
ds001894_sub-0136,ds001894,sub-136,10,0.1
ds001894_sub-0138,ds001894,sub-138,6,0.06
ds001894_sub-0139,ds001894,sub-139,0,0
ds001894_sub-0140,ds001894,sub-140,3,0.03
ds001894_sub-0141,ds001894,sub-141,0,0
ds001894_sub-0143,ds001894,sub-143,0,0
ds001894_sub-0144,ds001894,sub-144,7,0.07
ds001894_sub-0146,ds001894,sub-146,2,0.02
ds001894_sub-0148,ds001894,sub-148,0,0
ds001894_sub-0150,ds001894,sub-150,0,0
ds001894_sub-0152,ds001894,sub-152,3,0.03
ds001894_sub-0157,ds001894,sub-157,0,0
ds001894_sub-0159,ds001894,sub-159,2,0.02
ds001894_sub-0160,ds001894,sub-160,0,0
ds001894_sub-0161,ds001894,sub-161,0,0
ds001894_sub-0162,ds001894,sub-162,2,0.02
ds001894_sub-0163,ds001894,sub-163,0,0
ds001894_sub-0164,ds001894,sub-164,0,0
ds001894_sub-0165,ds001894,sub-165,0,0
ds001894_sub-0167,ds001894,sub-167,0,0
ds001894_sub-0168,ds001894,sub-168,0,0
ds001894_sub-0169,ds001894,sub-169,6,0.06
ds001894_sub-0170,ds001894,sub-170,26,0.26
ds001894_sub-0172,ds001894,sub-172,0,0
ds001894_sub-0174,ds001894,sub-174,0,0
ds001894_sub-0176,ds001894,sub-176,0,0
ds001894_sub-0177,ds001894,sub-177,7,0.07
ds001894_sub-0181,ds001894,sub-181,18,0.18
ds001894_sub-0182,ds001894,sub-182,0,0
ds001894_sub-0184,ds001894,sub-184,2,0.02
ds001894_sub-0185,ds001894,sub-185,14,0.14
ds001894_sub-0186,ds001894,sub-186,0,0
ds001894_sub-0188,ds001894,sub-188,17,0.17
ds002236_sub-0001,ds002236,sub-01,0,0
ds002236_sub-0002,ds002236,sub-02,0,0
ds002236_sub-0003,ds002236,sub-03,0,0
ds002236_sub-0004,ds002236,sub-04,2,0.02
ds002236_sub-0006,ds002236,sub-06,0,0
ds002236_sub-0007,ds002236,sub-07,0,0
ds002236_sub-0008,ds002236,sub-08,8,0.08
ds002236_sub-0009,ds002236,sub-09,16,0.16
ds002236_sub-0010,ds002236,sub-10,2,0.02
ds002236_sub-0012,ds002236,sub-12,15,0.15
ds002236_sub-0013,ds002236,sub-13,0,0
ds002236_sub-0016,ds002236,sub-16,0,0
ds002236_sub-0017,ds002236,sub-17,0,0
ds002236_sub-0019,ds002236,sub-19,0,0
ds002236_sub-0021,ds002236,sub-21,2,0.02
ds002236_sub-0022,ds002236,sub-22,16,0.16
ds002236_sub-0023,ds002236,sub-23,0,0
ds002236_sub-0024,ds002236,sub-24,0,0
ds002236_sub-0025,ds002236,sub-25,4,0.04
ds002236_sub-0026,ds002236,sub-26,2,0.02
ds002236_sub-0029,ds002236,sub-29,0,0
ds002236_sub-0031,ds002236,sub-31,0,0
ds002236_sub-0032,ds002236,sub-32,0,0
ds002236_sub-0033,ds002236,sub-33,11,0.11
ds002236_sub-0035,ds002236,sub-35,0,0
ds002236_sub-0036,ds002236,sub-36,2,0.02
ds002236_sub-0038,ds002236,sub-38,0,0
ds002236_sub-0042,ds002236,sub-42,0,0
ds002236_sub-0043,ds002236,sub-43,2,0.02
ds002236_sub-0044,ds002236,sub-44,1,0.01
ds002236_sub-0045,ds002236,sub-45,0,0
ds002236_sub-0046,ds002236,sub-46,0,0
ds002236_sub-0047,ds002236,sub-47,0,0
ds002236_sub-0048,ds002236,sub-48,0,0
ds002236_sub-0049,ds002236,sub-49,2,0.02
ds002236_sub-0050,ds002236,sub-50,2,0.02
ds002236_sub-0051,ds002236,sub-51,0,0
ds002236_sub-0052,ds002236,sub-52,0,0
ds002236_sub-0053,ds002236,sub-53,0,0
ds002236_sub-0055,ds002236,sub-55,23,0.23
ds002236_sub-0056,ds002236,sub-56,0,0
ds002236_sub-0057,ds002236,sub-57,0,0
ds002236_sub-0058,ds002236,sub-58,0,0
ds002236_sub-0059,ds002236,sub-59,2,0.02
ds002236_sub-0060,ds002236,sub-60,0,0
ds002236_sub-0061,ds002236,sub-61,0,0
ds002236_sub-0062,ds002236,sub-62,8,0.08
ds002236_sub-0063,ds002236,sub-63,27,0.27
ds002236_sub-0064,ds002236,sub-64,0,0
ds002236_sub-0065,ds002236,sub-65,0,0
ds002236_sub-0066,ds002236,sub-66,0,0
ds002236_sub-0068,ds002236,sub-68,0,0
ds002236_sub-0069,ds002236,sub-69,11,0.11
ds002236_sub-0071,ds002236,sub-71,2,0.02
ds002236_sub-0073,ds002236,sub-73,21,0.21
ds002236_sub-0074,ds002236,sub-74,0,0
ds002236_sub-0075,ds002236,sub-75,5,0.05
ds002236_sub-0076,ds002236,sub-76,0,0
ds002236_sub-0077,ds002236,sub-77,10,0.1
ds002236_sub-0079,ds002236,sub-79,6,0.06
ds002236_sub-0080,ds002236,sub-80,0,0
ds002236_sub-0081,ds002236,sub-81,2,0.02
ds002236_sub-0082,ds002236,sub-82,16,0.16
ds002236_sub-0083,ds002236,sub-83,2,0.02
ds002236_sub-0084,ds002236,sub-84,0,0
ds002236_sub-0090,ds002236,sub-90,0,0
ds006239_sub-1002,ds006239,sub-1002,0,0
ds006239_sub-1076,ds006239,sub-1076,15,0.15
ds006239_sub-1079,ds006239,sub-1079,19,0.19
ds006239_sub-1080,ds006239,sub-1080,0,0
ds006239_sub-1081,ds006239,sub-1081,0,0
ds006239_sub-1082,ds006239,sub-1082,12,0.12
ds006239_sub-1086,ds006239,sub-1086,0,0
ds006239_sub-1089,ds006239,sub-1089,0,0
ds006239_sub-1090,ds006239,sub-1090,14,0.14
ds006239_sub-1101,ds006239,sub-1101,0,0
ds006239_sub-1102,ds006239,sub-1102,0,0
ds006239_sub-1103,ds006239,sub-1103,0,0
ds006239_sub-1105,ds006239,sub-1105,0,0
ds006239_sub-1107,ds006239,sub-1107,0,0
ds006239_sub-1110,ds006239,sub-1110,0,0
ds006239_sub-1111,ds006239,sub-1111,2,0.02
ds006239_sub-1116,ds006239,sub-1116,0,0
ds006239_sub-1117,ds006239,sub-1117,0,0
ds006239_sub-1119,ds006239,sub-1119,20,0.2
ds006239_sub-1122,ds006239,sub-1122,10,10
ds006239_sub-1129,ds006239,sub-1129,6,0.06
ds006239_sub-1130,ds006239,sub-1130,8,0.08
ds006239_sub-1148,ds006239,sub-1148,18,0.18
ds006239_sub-1156,ds006239,sub-1156,14,0.14
ds006239_sub-1160,ds006239,sub-1160,0,0
ds006239_sub-1161,ds006239,sub-1161,0,0
ds006239_sub-1169,ds006239,sub-1169,21,0.21
ds006239_sub-1178,ds006239,sub-1178,0,0
ds006239_sub-1180,ds006239,sub-1180,0,0
ds006239_sub-1181,ds006239,sub-1181,18,0.18
ds006239_sub-1187,ds006239,sub-1187,0,0
ds006239_sub-1190,ds006239,sub-1190,0,0
ds006239_sub-1191,ds006239,sub-1191,2,0.02
ds006239_sub-1192,ds006239,sub-1192,0,0
ds006239_sub-1193,ds006239,sub-1193,14,0.14
ds006239_sub-1194,ds006239,sub-1194,0,0
ds006239_sub-1195,ds006239,sub-1195,4,0.04
ds006239_sub-1196,ds006239,sub-1196,0,0
ds006239_sub-1197,ds006239,sub-1197,0,0
ds006239_sub-1198,ds006239,sub-1198,2,0.02
ds006239_sub-1199,ds006239,sub-1199,2,0.02
ds006239_sub-1204,ds006239,sub-1204,0,0
ds006239_sub-1205,ds006239,sub-1205,0,0
ds006239_sub-1206,ds006239,sub-1206,0,0
ds006239_sub-1208,ds006239,sub-1208,0,0
ds006239_sub-1209,ds006239,sub-1209,0,0
ds006239_sub-1210,ds006239,sub-1210,0,0
ds006239_sub-1211,ds006239,sub-1211,0,0
ds006239_sub-1213,ds006239,sub-1213,0,0
ds006239_sub-1219,ds006239,sub-1219,0,0
ds006239_sub-1220,ds006239,sub-1220,0,0
ds006239_sub-1223,ds006239,sub-1223,2,0.02
ds006239_sub-1225,ds006239,sub-1225,0,0
ds006239_sub-1246,ds006239,sub-1246,0,0
ds006239_sub-1248,ds006239,sub-1248,0,0
ds006239_sub-1250,ds006239,sub-1250,0,0
ds006239_sub-1252,ds006239,sub-1252,2,0.02
ds006239_sub-1255,ds006239,sub-1255,18,0.18
ds006239_sub-1277,ds006239,sub-1277,0,0
ds006239_sub-1278,ds006239,sub-1278,4,0.04
ds006239_sub-1283,ds006239,sub-1283,0,0
ds006239_sub-1288,ds006239,sub-1288,0,0
ds006239_sub-1289,ds006239,sub-1289,0,0
ds006239_sub-1291,ds006239,sub-1291,2,0.02
