unique_id,dataset,participant_id,sex,handedness,age,rs,pa,fi,rs_fi,rs_age,fi_age,rs_fi_age,pa_fi,pa_age,pa_fi_age,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,nci_acc,response_bias,exclude,preC_IFG,preC_TP,preC_vOT,postC_IFG,postC_TP,postC_vOT
ds001486_sub-0026,ds001486,sub-026,Female,right,10.92,125,13,109,13625,1365,1190.28,148785,1417,141.96,15473.64,0.917,0.778,1,0.923,0.92,0.006,NA,4.987365894317627,5.6660559940338135,4.894751615524292,4.54987611422614,4.95454348946812,4.358793255891452
ds001486_sub-0027,ds001486,sub-027,Female,right,10.09,126,14,130,16380,1271.34,1311.7,165274.2,1820,141.26,18363.8,0.917,0.8,0.9,0.929,0.923,0.01200000000000001,NA,3.6432843327522275,1.4993715429306032,4.0217151975631715,3.462055535783093,1.3468736677870532,3.846102556740858
ds001486_sub-0028,ds001486,sub-028,Female,right,11.64,109,10,83,9047,1268.76,966.12,105307.08,830,116.4,9661.2,1,0.5,1,0.929,0.962,0.07099999999999995,NA,4.407013773918152,2.6936873495578766,3.4031466269493107,3.95719789664766,2.382114439306023,3.1292150405959225
ds001486_sub-0029,ds001486,sub-029,Male,right,9.89,101,9,104,10504,998.8900000000001,1028.56,103884.56000000001,936,89.01,9257.04,0.778,0.5,0.75,0.692,0.727,0.08600000000000008,NA,2.529739670753479,1.1376535594463348,3.0977482652664183,2.273912035998723,1.0370954770284333,2.944824935069413
ds001486_sub-0030,ds001486,sub-030,Female,right,11.39,107,10,107,11449,1218.73,1218.73,130404.11,1070,113.9,12187.300000000001,1,0.7,1,0.929,0.962,0.07099999999999995,NA,5.965565400123595,3.7315326452255246,6.34693099975586,5.411878188642831,3.2782252912755814,5.724009855112948
ds001486_sub-0031,ds001486,sub-031,Female,right,11.52,113,10,113,12769,1301.76,1301.76,147098.88,1130,115.19999999999999,13017.6,0.917,0.8,0.9,0.857,0.885,0.06000000000000005,NA,6.375724616050721,4.461611378192901,5.200420150756836,5.805559974296771,3.844802622879704,4.731688405403499
ds001486_sub-0032,ds001486,sub-032,Male,right,9.22,112,14,121,13552,1032.64,1115.6200000000001,124949.44,1694,129.08,15618.68,0.909,0.7,1,0.929,0.92,0.02000000000000001,NA,2.4591992950439456,2.5597535312175754,2.8458771729469303,2.315017170071888,2.268171167952688,2.6224063626153478
ds001486_sub-0033,ds001486,sub-033,Female,right,11.77,123,12,119,14637,1447.71,1400.6299999999999,172277.49,1428,141.24,16807.559999999998,1,0.8,0.9,0.929,0.962,0.07099999999999995,NA,6.54672562122345,2.166046802997589,5.4872379493713375,5.946543935582709,1.8746434404121437,4.877431838339339
ds001486_sub-0034,ds001486,sub-034,Female,right,9.97,119,14,109,12971,1186.43,1086.73,129320.87000000001,1526,139.58,15214.220000000001,1,0.7,1,0.857,0.923,0.14300000000000002,NA,4.244201037883759,1.5486047375202177,3.2951318955421445,3.7961863635244755,1.4080961945268564,3.074560741494627
ds001486_sub-0035,ds001486,sub-035,Male,right,10.94,111,6,113,12543,1214.34,1236.22,137220.41999999998,678,65.64,7417.32,1,0.9,0.9,0.929,0.962,0.07099999999999995,NA,5.330791726112365,1.9794941818714136,3.643568322658539,4.816916144176687,1.7636978226707447,3.295436714038139
ds001486_sub-0038,ds001486,sub-038,Male,right,13.88,130,12,113,14690,1804.4,1568.44,203897.2,1356,166.56,18821.280000000002,1,1,1,1,1,0,NA,2.4977249789237974,0.6992554044723511,1.537681522369385,2.2783128343478554,0.6929082694180734,1.4541828251161848
ds001486_sub-0039,ds001486,sub-039,Female,right,13.4,95,4,88,8360,1273,1179.2,112024,352,53.6,4716.8,0.917,0.7,0.889,0.929,0.923,0.01200000000000001,NA,4.323175084590912,1.2570491784811022,2.5068599104881284,3.963894089202049,1.1292833051901348,2.37558542352262
ds001486_sub-0040,ds001486,sub-040,Male,right,12.73,116,12,106,12296,1476.68,1349.38,156528.08000000002,1272,152.76,16192.560000000001,1,0,0.778,0.714,0.846,0.28600000000000003,NA,7.233152389526367,3.0142576956748965,6.794288749694824,6.564737807810947,2.6729644737906,5.967109715464411
ds001486_sub-0041,ds001486,sub-041,Female,right,9.23,98,13,107,10486,904.5400000000001,987.61,96785.78,1391,119.99000000000001,12838.93,1,0.6,1,0.857,0.923,0.14300000000000002,NA,2.608079423904419,1.4296288549900054,2.4945829987525943,2.3825347194191733,1.2642716316805984,2.2967197667166093
ds001486_sub-0042,ds001486,sub-042,Female,right,10.41,100,6,104,10400,1041,1082.64,108264,624,62.46,6495.84,0.667,0.7,0.6,1,0.846,0.33299999999999996,NA,1.2249167668819432,0.9534590309858322,1.4103599125146864,1.1223649270159808,0.8810051949448487,1.2608544806231863
ds001486_sub-0043,ds001486,sub-043,Male,right,13.56,102,11,115,11730,1383.1200000000001,1559.4,159058.80000000002,1265,149.16,17153.4,0.8,0.222,0.9,0.857,0.833,0.05699999999999994,NA,5.93847822189331,3.8471274971961975,5.353468899726868,5.565583516925444,3.33627644805575,4.962245598302442
ds001486_sub-0044,ds001486,sub-044,Female,right,11.49,130,11,112,14560,1493.7,1286.88,167294.4,1232,126.39,14155.68,1,0.9,0.9,1,1,0,NA,5.545339374542237,1.6075915992259977,5.761433100700379,5.051439692031654,1.4479381463774277,5.291261127896292
ds001486_sub-0045,ds001486,sub-045,Female,right,9.78,95,7,113,10735,929.0999999999999,1105.1399999999999,104988.29999999999,791,68.46,7735.98,0.818,0.3,0.6,0.769,0.792,0.04899999999999993,NA,1.2555130434036255,1.1250468742847441,2.8519662117958067,1.1570380841588315,1.0258046642788876,2.634209508139481
ds001486_sub-0046,ds001486,sub-046,Male,right,12.42,106,11,101,10706,1316.52,1254.42,132968.52,1111,136.62,13798.62,0.917,0.8,1,0.923,0.92,0.006,NA,7.436664419174194,4.006418712139129,5.212796568870544,6.782059977299743,3.4288606686656213,4.703151010233608
ds001486_sub-0047,ds001486,sub-047,Female,right,10.44,114,10,116,13224,1190.1599999999999,1211.04,138058.56,1160,104.39999999999999,12110.4,0.917,0.7,1,0.929,0.923,0.01200000000000001,NA,6.550819716453552,3.3702139759063723,6.859780621528626,6.042635217571417,2.9401127389235295,6.347185074497008
ds001486_sub-0048,ds001486,sub-048,Male,right,10.6,133,14,109,14497,1409.8,1155.3999999999999,153668.19999999998,1526,148.4,16175.6,1,0.9,0.889,1,1,0,NA,4.520354633331299,3.1013134217262266,5.307307710647583,4.115838861806583,2.6941924255147387,4.74688075134644
ds001486_sub-0049,ds001486,sub-049,Female,right,10.97,129,12,104,13416,1415.13,1140.88,147173.52000000002,1248,131.64000000000001,13690.560000000001,1,0.8,0.8,1,1,0,NA,2.454637329578399,1.7808734083175664,3.395440483093261,2.234252044671831,1.6287708113205077,3.1369242885531428
ds001486_sub-0050,ds001486,sub-050,Female,right,9.43,119,12,115,13685,1122.17,1084.45,129049.55,1380,113.16,13013.4,1,0.8,0.9,0.923,0.96,0.07699999999999996,NA,5.0033453178405765,2.9961938333511355,4.561716551780701,4.696400931118814,2.65649124439406,4.341488388215734
ds001486_sub-0052,ds001486,sub-052,Female,right,12.45,84,5,86,7224,1045.8,1070.7,89938.79999999999,430,62.25,5353.5,0.714,0,0.8,0.8,0.75,0.08600000000000008,NA,3.8782113075256346,3.7762623310089114,7.9851352930068975,3.4068085838839726,3.255139863026166,7.103598239985313
ds001486_sub-0053,ds001486,sub-053,Female,right,12.66,98,12,112,10976,1240.68,1417.92,138956.16,1344,151.92000000000002,17015.04,0.917,0.222,0.778,0.692,0.8,0.2250000000000001,NA,3.77338449716568,2.3661321413517,3.5943831229209904,3.4301115821795496,2.0379561109202666,3.331217429352827
ds001486_sub-0054,ds001486,sub-054,Male,right,14.09,103,12,83,8549,1451.27,1169.47,120455.41,996,169.07999999999998,14033.64,1,0.6,1,0.714,0.846,0.28600000000000003,NA,4.758344440460205,2.100915495157242,2.649585654735565,4.4063697505578086,1.859313339363392,2.3874345943138597
ds001486_sub-0055,ds001486,sub-055,Male,right,11.09,106,7,97,10282,1175.54,1075.73,114027.38,679,77.63,7530.11,0.75,0.3,0.9,0.857,0.808,0.10699999999999998,NA,5.293611578941345,1.2361282825469968,3.7486259031295774,4.830081698306887,1.1054035432639535,3.5122755091309514
ds001486_sub-0056,ds001486,sub-056,Female,right,10.14,93,3,110,10230,943.0200000000001,1115.4,103732.20000000001,330,30.42,3346.2000000000003,1,0.4,1,0.769,0.87,0.231,NA,3.444447517395019,2.2512936794757845,3.449872696399688,3.1331411528861346,1.941602745745916,2.908851179650665
ds001486_sub-0057,ds001486,sub-057,Male,right,9.54,100,10,97,9700,953.9999999999999,925.3799999999999,92537.99999999999,970,95.39999999999999,9253.8,1,0.6,1,0.643,0.808,0.357,NA,2.5481985425949096,1.7677355313301084,1.950956829786301,2.3785290211992858,1.606499046898713,1.8134940904133878
ds001486_sub-0059,ds001486,sub-059,Male,right,12.91,109,11,122,13298,1407.19,1575.02,171677.18,1342,142.01,17325.22,0.9,0.8,1,1,0.957,0.09999999999999998,NA,5.748125324249267,4.928201127052308,11.339399175643921,5.202103115557525,4.310818934043507,10.334567873517987
ds001486_sub-0060,ds001486,sub-060,Male,right,10.92,106,11,122,12932,1157.52,1332.24,141217.44,1342,120.12,14654.64,0.833,0.7,0.8,1,0.923,0.16700000000000004,NA,3.1814284110069275,1.3293858033418655,4.986327879428863,2.920350827808791,1.196804247064287,4.435419130263549
ds001486_sub-0061,ds001486,sub-061,Male,right,11.25,98,8,122,11956,1102.5,1372.5,134505,976,90,10980,0.909,0.4,0.6,0.769,0.833,0.14,NA,3.838883237838745,2.702689492702484,3.1780424809455874,3.4008279136813186,2.3492062435057597,2.830677083031478
ds001486_sub-0062,ds001486,sub-062,Male,right,15,106,12,116,12296,1590,1740,184440,1392,180,20880,0.833,0.7,0.6,0.786,0.808,0.04699999999999993,NA,9.00526131629944,4.956582064628601,4.304087228775024,8.236395654106053,4.278745144433652,4.103022724653277
ds001486_sub-0063,ds001486,sub-063,Male,right,11,107,13,104,11128,1177,1144,122408,1352,143,14872,0.917,0.3,0.8,0.786,0.846,0.131,NA,4.037114741802215,2.956450304985046,3.143032686710358,3.781131747395648,2.6058240869430427,2.950144294043276
ds001486_sub-0064,ds001486,sub-064,Female,right,9.01,120,12,115,13800,1081.2,1036.1499999999999,124338,1380,108.12,12433.8,1,0.9,1,0.857,0.923,0.14300000000000002,NA,2.166895101070404,1.1378529793024061,3.224612684249878,1.9832222145727199,1.0191957180914235,3.03364929668975
ds001486_sub-0065,ds001486,sub-065,Male,right,10.13,120,5,107,12840,1215.6000000000001,1083.91,130069.20000000001,535,50.650000000000006,5419.55,1,0.6,1,0.857,0.923,0.14300000000000002,NA,4.00702602148056,2.0830467307567595,6.284009838104248,3.7761764822956203,1.8288474632362188,5.647461566365515
ds001486_sub-0066,ds001486,sub-066,Female,right,9.43,93,8,109,10137,876.99,1027.87,95591.91,872,75.44,8222.96,0.917,0.1,0.7,0.923,0.92,0.006,NA,3.925542185306549,0.8566169178485872,4.180754470825195,3.524075935739042,0.7802539733059102,3.8556230937749687
ds001486_sub-0067,ds001486,sub-067,Female,right,14.04,85,4,92,7820,1193.3999999999999,1291.6799999999998,109792.79999999999,368,56.16,5166.719999999999,0.917,0.3,0.7,0.571,0.731,0.3460000000000001,NA,4.363698878288269,4.00766051530838,3.4651359486579896,4.050022742898559,3.425398503177562,3.22923867902591
ds001486_sub-0069,ds001486,sub-069,Female,right,13.21,98,12,73,7154,1294.5800000000002,964.33,94504.34000000001,876,158.52,11571.960000000001,1,0.7,1,0.929,0.962,0.07099999999999995,NA,5.0456493997573855,1.6653792083263397,5.0126830673217775,4.574179021818222,1.4626486103962117,4.739826178996692
ds001486_sub-0070,ds001486,sub-070,Female,right,13.02,107,3,83,8881,1393.1399999999999,1080.6599999999999,115630.62,249,39.06,3241.98,1,0.9,1,1,1,0,NA,5.3650206232070925,3.8440870547294614,5.801190333366394,5.024818708833998,3.27461118699747,5.175575344861527
ds001486_sub-0071,ds001486,sub-071,Male,right,8.64,115,11,113,12995,993.6,976.32,112276.8,1243,95.04,10739.52,0.917,0.6,0.9,0.857,0.885,0.06000000000000005,NA,3.667819290161133,2.1481897187232972,8.380651769638064,3.3859375294350125,1.936374573045926,7.477423637290406
ds001486_sub-0072,ds001486,sub-072,Male,right,13.79,100,5,88,8800,1379,1213.52,121351.99999999999,440,68.94999999999999,6067.5999999999995,1,0.3,0.7,0.643,0.808,0.357,NA,2.062166817188263,1.1225647795200349,2.3521226835250855,1.9450380895484485,1.0232172503191448,2.222207234933343
ds001486_sub-0073,ds001486,sub-073,Female,right,9.97,112,13,73,8176,1116.64,727.8100000000001,81514.72,949,129.61,9461.53,1,0.8,0.889,0.929,0.962,0.07099999999999995,NA,8.256406307220459,5.294058890342712,6.715960092544555,7.523530622462011,4.613750455075583,6.025552187047953
ds001486_sub-0074,ds001486,sub-074,Female,right,12.33,58,4,95,5510,715.14,1171.35,67938.3,380,49.32,4685.4,0.917,0,0.556,0.692,0.8,0.2250000000000001,NA,5.718506660461426,2.523469594717026,5.058652300834655,5.012477876238285,2.2209561670045397,4.45853242463209
ds001486_sub-0075,ds001486,sub-075,Female,right,14.06,98,5,95,9310,1377.88,1335.7,130898.6,475,70.3,6678.5,1,0.667,1,0.786,0.885,0.21399999999999997,NA,5.217746906280517,1.3549701941013337,3.6501784253120424,4.7673134208256975,1.2373625754585516,3.3730813431804814
ds001486_sub-0076,ds001486,sub-076,Male,right,11.15,85,5,97,8245,947.75,1081.55,91931.75,485,55.75,5407.75,0.909,0.1,0.9,0.857,0.88,0.05200000000000004,NA,4.0684714603424075,1.0538125085830687,4.46731947183609,3.621149970146914,0.9135438003413061,4.1069332241360454
ds001486_sub-0077,ds001486,sub-077,Female,right,9.94,90,5,77,6930,894.5999999999999,765.38,68884.2,385,49.699999999999996,3826.8999999999996,0.917,0.4,1,0.929,0.923,0.01200000000000001,NA,3.5000235533714292,1.3612668919563293,2.0007755410671235,3.1683739495842382,1.2036770277476694,1.8594024505939042
ds001486_sub-0078,ds001486,sub-078,Female,right,12.19,83,4,91,7553,1011.77,1109.29,92071.06999999999,364,48.76,4437.16,1,0.2,0.778,0.75,0.875,0.25,NA,4.09513747215271,1.6437367761135102,6.153323850631714,3.7058372812141114,1.446307151885888,5.91463150627031
ds001486_sub-0079,ds001486,sub-079,Male,right,12.59,106,8,94,9964,1334.54,1183.46,125446.76,752,100.72,9467.68,1,0.7,1,0.929,0.962,0.07099999999999995,NA,7.1905887508392325,3.656876249313355,4.676993842124939,6.502978217114419,3.117145099888843,4.373268225653404
ds001486_sub-0081,ds001486,sub-081,Male,right,11.18,85,5,107,9095,950.3,1196.26,101682.09999999999,535,55.9,5981.3,0.833,0.5,1,0.786,0.808,0.04699999999999993,NA,2.103206350803375,2.337260315418243,4.02272700548172,1.8705279096955472,1.9975352608553383,3.559544968468615
ds001486_sub-0082,ds001486,sub-082,Male,right,11.55,86,7,97,8342,993.3000000000001,1120.3500000000001,96350.1,679,80.85000000000001,7842.450000000001,0.583,0.2,0.333,0.769,0.68,0.18600000000000003,NA,2.7951655745506288,2.8439818048477177,2.3139371490478515,2.589643850128467,2.4768418394116396,2.159231346719494
ds001486_sub-0083,ds001486,sub-083,Female,right,11.58,96,6,92,8832,1111.68,1065.36,102274.56,552,69.48,6392.16,0.917,0.3,0.8,0.929,0.923,0.01200000000000001,NA,5.298466200828552,1.6094784641265871,3.201929607391357,4.744497815046256,1.4347419851778134,2.9848285358885134
ds001486_sub-0085,ds001486,sub-085,Female,right,9.91,103,13,104,10712,1020.73,1030.64,106155.92,1352,128.83,13398.32,1,0.4,0.9,0.857,0.92,0.14300000000000002,NA,2.499151809215545,0.22630896672606474,2.2403070759773254,2.290481200225521,0.23845883313777116,2.076797124722364
ds001486_sub-0086,ds001486,sub-086,Male,right,12.77,100,12,101,10100,1277,1289.77,128977,1212,153.24,15477.24,1,0.3,1,0.909,0.957,0.09099999999999996,NA,3.4406176996231075,1.9471209788322448,4.00624413728714,3.1948388111539674,1.7507657684685187,3.5814759251226778
ds001486_sub-0087,ds001486,sub-087,Male,right,13.43,102,5,88,8976,1369.86,1181.84,120547.68,440,67.15,5909.2,1,0.8,0.8,1,1,0,NA,3.7735957217216494,0.932208344936371,3.7364261746406546,3.498430881691446,0.8290663487637145,3.5008272639122895
ds001486_sub-0088,ds001486,sub-088,Female,right,9.9,98,5,98,9604,970.2,970.2,95079.6,490,49.5,4851,0.833,0.6,0.5,1,0.923,0.16700000000000004,NA,4.147090692520142,2.318958311080932,3.468920979499817,3.6744118822856957,2.027339670261389,3.201431703824402
ds001486_sub-0089,ds001486,sub-089,Female,right,10.07,114,7,107,12198,1147.98,1077.49,122833.86,749,70.49000000000001,7542.43,0.75,0.7,1,0.857,0.808,0.10699999999999998,NA,4.996583814620972,1.493033300638199,3.069235289096832,4.464079125971792,1.364285893160347,2.868453266586314
ds001486_sub-0090,ds001486,sub-090,Male,right,12.81,116,9,118,13688,1485.96,1511.5800000000002,175343.28,1062,115.29,13604.220000000001,0.917,0.5,0.9,1,0.962,0.08299999999999996,NA,4.774975714683533,2.640110123157501,3.9012985873222354,4.4418624566468115,2.311812415502961,3.492726367172544
ds001486_sub-0091,ds001486,sub-091,Female,right,13.25,94,6,100,9400,1245.5,1325,124550,600,79.5,7950,0.917,0.7,0.8,0.929,0.923,0.01200000000000001,NA,4.89755099773407,1.8315412676334384,3.5949437260627746,4.394945496882464,1.6085543826190274,3.3384013362923737
ds001486_sub-0093,ds001486,sub-093,Male,right,9.95,123,13,122,15006,1223.85,1213.8999999999999,149309.69999999998,1586,129.35,15780.699999999999,1,0.333,0.8,1,1,0,NA,2.181817272901535,1.8308243465423581,2.1501722729206083,2.0896637735047054,1.6191313108260674,2.1198497888334815
ds001486_sub-0094,ds001486,sub-094,Male,right,13.02,104,11,71,7384,1354.08,924.42,96139.68,781,143.22,10168.619999999999,1,0.1,0.8,0.714,0.846,0.28600000000000003,NA,5.15019166469574,2.8091007089614863,4.940817766189575,4.650835972924609,2.517591280006742,4.529523749933094
ds001486_sub-0095,ds001486,sub-095,Male,right,11.33,110,9,113,12430,1246.3,1280.29,140831.9,1017,101.97,11522.61,0.917,0.3,0.8,0.786,0.846,0.131,NA,6.526073293685913,2.271863270998001,3.3516178965568546,5.721942677630643,2.0200202277072603,3.046497916563096
ds001486_sub-0096,ds001486,sub-096,Female,right,10.9,98,9,113,11074,1068.2,1231.7,120706.6,1017,98.10000000000001,11085.300000000001,0.583,0.556,0.5,1,0.808,0.417,NA,4.907699818611145,2.4712634038925168,3.290692458152771,4.374700976468079,2.1722242730982915,2.9570305633837624
ds001486_sub-0097,ds001486,sub-097,Male,right,10.6,91,10,124,11284,964.6,1314.3999999999999,119610.4,1240,106,13144,0.917,0.222,0.8,0.929,0.923,0.01200000000000001,NA,2.676109502315521,2.0399198579788207,2.5391184926033024,2.52471811285332,1.760193071647991,2.265056097581635
ds001486_sub-0098,ds001486,sub-098,Female,right,9.37,94,7,77,7238,880.78,721.4899999999999,67820.06,539,65.58999999999999,5050.429999999999,0.667,0.222,0.889,0.3,0.5,0.3670000000000001,NA,4.734133315086365,1.4855378276109696,2.618551998138428,4.159599561655038,1.3109807841312808,2.4411911419331465
ds001486_sub-0100,ds001486,sub-100,Female,right,9.96,105,6,103,10815,1045.8000000000002,1025.88,107717.40000000001,618,59.760000000000005,6155.280000000001,0.818,0.6,0.667,0.857,0.84,0.03900000000000003,NA,2.232600055932999,2.1923397159576417,4.357816550731659,2.06489709754981,1.9242654533684846,4.17750936526462
ds001486_sub-0101,ds001486,sub-101,Female,right,12.24,110,4,104,11440,1346.4,1272.96,140025.6,416,48.96,5091.84,1,0.7,1,0.786,0.885,0.21399999999999997,NA,1.9710676658153532,1.6548867344856262,4.359863331317902,1.8096673799661454,1.480556309117545,4.076399454966053
ds001486_sub-0102,ds001486,sub-102,Female,right,10.4,90,9,110,9900,936,1144,102960,990,93.60000000000001,10296,0.917,0.5,0.9,0.846,0.88,0.07100000000000006,NA,3.4298058462142946,2.261461330652237,3.830265519618988,3.092243835901335,1.932751467901021,3.4622308246709363
ds001486_sub-0103,ds001486,sub-103,Female,right,10.09,106,7,112,11872,1069.54,1130.08,119788.48,784,70.63,7910.5599999999995,1,0.6,0.9,1,1,0,NA,3.9489424204826356,2.4314981985092166,2.6419213104248045,3.686111474444949,2.1006881051920994,2.3856117381820248
ds001486_sub-0104,ds001486,sub-104,Female,right,12.16,95,5,94,8930,1155.2,1143.04,108588.8,470,60.8,5715.2,0.917,0.7,0.5,0.923,0.92,0.006,NA,3.1707419419288634,3.344630219936371,2.9952637195587153,2.8358462678061347,2.9079790822606753,2.849440989481993
ds001486_sub-0105,ds001486,sub-105,Female,right,10.64,90,5,91,8190,957.6,968.24,87141.6,455,53.2,4841.2,0.917,0.5,0.889,0.846,0.88,0.07100000000000006,NA,4.738390407562256,1.6619709181785582,3.800609314441681,4.21893989394932,1.4645563711656777,3.373652759312523
