unique_id,n_correct_O+P+,n_correct_O+P-,n_correct_O-P+,n_correct_O-P-,n_correct_nci,n_trial_O+P+,n_trial_O+P-,n_trial_O-P+,n_trial_O-P-,n_trial,n_trial_nci,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,mean_acc_nci,response_bias,exclude
ds002236_sub-0001,23,20,23,23,46,24,24,24,24,96,48,0.958,0.833,0.958,0.958,0.958,0,NA
ds002236_sub-0002,19,19,14,23,42,24,24,24,24,96,48,0.792,0.792,0.583,0.958,0.875,0.16599999999999993,NA
ds002236_sub-0003,21,20,15,22,43,24,24,24,24,96,48,0.875,0.833,0.625,0.917,0.896,0.04200000000000004,NA
ds002236_sub-0004,23,20,13,22,45,24,24,24,24,96,48,0.958,0.833,0.542,0.917,0.938,0.040999999999999925,NA
ds002236_sub-0005,23,19,11,19,42,24,24,24,24,96,48,0.958,0.792,0.458,0.792,0.875,0.16599999999999993,NA
ds002236_sub-0006,24,20,17,24,48,24,24,24,24,96,48,1,0.833,0.708,1,1,0,NA
ds002236_sub-0007,24,23,17,24,48,24,24,24,24,96,48,1,0.958,0.708,1,1,0,NA
ds002236_sub-0008,23,22,21,24,47,24,24,24,24,96,48,0.958,0.917,0.875,1,0.979,0.04200000000000004,NA
ds002236_sub-0009,22,20,15,22,44,24,24,24,24,96,48,0.917,0.833,0.625,0.917,0.917,0,NA
ds002236_sub-0010,23,20,18,24,47,24,24,24,24,96,48,0.958,0.833,0.75,1,0.979,0.04200000000000004,NA
ds002236_sub-0011,20,19,10,19,39,24,24,24,24,96,48,0.833,0.792,0.417,0.792,0.812,0.040999999999999925,NA
ds002236_sub-0012,24,22,4,19,43,24,24,24,24,96,48,1,0.917,0.167,0.792,0.896,0.20799999999999996,NA
ds002236_sub-0013,23,21,16,23,46,24,24,24,24,96,48,0.958,0.875,0.667,0.958,0.958,0,NA
ds002236_sub-0014,24,22,22,23,47,24,24,24,24,96,48,1,0.917,0.917,0.958,0.979,0.04200000000000004,NA
ds002236_sub-0015,23,12,3,20,43,24,24,24,24,96,48,0.958,0.5,0.125,0.833,0.896,0.125,NA
ds002236_sub-0016,23,19,18,19,42,24,24,24,24,96,48,0.958,0.792,0.75,0.792,0.875,0.16599999999999993,NA
ds002236_sub-0017,24,22,19,19,43,24,24,24,24,96,48,1,0.917,0.792,0.792,0.896,0.20799999999999996,NA
ds002236_sub-0018,19,14,15,20,39,24,24,24,24,96,48,0.792,0.583,0.625,0.833,0.812,0.040999999999999925,NA
ds002236_sub-0019,21,22,22,24,45,24,24,24,24,96,48,0.875,0.917,0.917,1,0.938,0.125,NA
ds002236_sub-0021,21,15,20,23,44,24,24,24,24,96,48,0.875,0.625,0.833,0.958,0.917,0.08299999999999996,NA
ds002236_sub-0022,23,22,18,23,46,24,24,24,24,96,48,0.958,0.917,0.75,0.958,0.958,0,NA
ds002236_sub-0023,23,21,5,21,44,24,24,24,24,96,48,0.958,0.875,0.208,0.875,0.917,0.08299999999999996,NA
ds002236_sub-0024,23,22,18,24,47,24,24,24,24,96,48,0.958,0.917,0.75,1,0.979,0.04200000000000004,NA
ds002236_sub-0025,23,21,20,24,47,24,24,24,24,96,48,0.958,0.875,0.833,1,0.979,0.04200000000000004,NA
ds002236_sub-0026,23,19,21,24,47,24,24,24,24,96,48,0.958,0.792,0.875,1,0.979,0.04200000000000004,NA
ds002236_sub-0027,21,18,4,19,40,24,24,24,24,96,48,0.875,0.75,0.167,0.792,0.833,0.08299999999999996,NA
ds002236_sub-0029,23,20,16,23,46,24,24,24,24,96,48,0.958,0.833,0.667,0.958,0.958,0,NA
ds002236_sub-0030,24,22,18,24,48,24,24,24,24,96,48,1,0.917,0.75,1,1,0,NA
ds002236_sub-0031,21,19,21,24,45,24,24,24,24,96,48,0.875,0.792,0.875,1,0.938,0.125,NA
ds002236_sub-0032,21,21,18,23,44,24,24,24,24,96,48,0.875,0.875,0.75,0.958,0.917,0.08299999999999996,NA
ds002236_sub-0033,21,21,18,23,44,24,24,24,24,96,48,0.875,0.875,0.75,0.958,0.917,0.08299999999999996,NA
ds002236_sub-0035,11,7,16,19,30,24,24,24,24,96,48,0.458,0.292,0.667,0.792,0.625,0.334,NA
ds002236_sub-0036,23,21,18,24,47,24,24,24,24,96,48,0.958,0.875,0.75,1,0.979,0.04200000000000004,NA
ds002236_sub-0037,19,11,10,21,40,24,24,24,24,96,48,0.792,0.458,0.417,0.875,0.833,0.08299999999999996,NA
ds002236_sub-0038,21,21,22,24,45,24,24,24,24,96,48,0.875,0.875,0.917,1,0.938,0.125,NA
ds002236_sub-0039,19,12,7,14,33,24,24,24,24,96,48,0.792,0.5,0.292,0.583,0.688,0.20900000000000007,NA
ds002236_sub-0041,23,21,17,23,46,24,24,24,24,96,48,0.958,0.875,0.708,0.958,0.958,0,NA
ds002236_sub-0042,23,19,10,22,45,24,24,24,24,96,48,0.958,0.792,0.417,0.917,0.938,0.040999999999999925,NA
ds002236_sub-0043,24,24,20,23,47,24,24,24,24,96,48,1,1,0.833,0.958,0.979,0.04200000000000004,NA
ds002236_sub-0044,23,22,21,24,47,24,24,24,24,96,48,0.958,0.917,0.875,1,0.979,0.04200000000000004,NA
ds002236_sub-0045,24,22,15,23,47,24,24,24,24,96,48,1,0.917,0.625,0.958,0.979,0.04200000000000004,NA
ds002236_sub-0046,22,21,23,24,46,24,24,24,24,96,48,0.917,0.875,0.958,1,0.958,0.08299999999999996,NA
ds002236_sub-0047,22,22,21,24,46,24,24,24,24,96,48,0.917,0.917,0.875,1,0.958,0.08299999999999996,NA
ds002236_sub-0048,24,23,14,23,47,24,24,24,24,96,48,1,0.958,0.583,0.958,0.979,0.04200000000000004,NA
ds002236_sub-0049,22,18,19,24,46,24,24,24,24,96,48,0.917,0.75,0.792,1,0.958,0.08299999999999996,NA
ds002236_sub-0050,24,21,13,24,48,24,24,24,24,96,48,1,0.875,0.542,1,1,0,NA
ds002236_sub-0051,24,20,19,24,48,24,24,24,24,96,48,1,0.833,0.792,1,1,0,NA
ds002236_sub-0052,23,18,20,24,47,24,24,24,24,96,48,0.958,0.75,0.833,1,0.979,0.04200000000000004,NA
ds002236_sub-0053,21,16,16,24,45,24,24,24,24,96,48,0.875,0.667,0.667,1,0.938,0.125,NA
ds002236_sub-0055,22,21,9,21,43,24,24,24,24,96,48,0.917,0.875,0.375,0.875,0.896,0.04200000000000004,NA
ds002236_sub-0056,23,16,3,22,45,24,24,24,24,96,48,0.958,0.667,0.125,0.917,0.938,0.040999999999999925,NA
ds002236_sub-0057,22,23,19,24,46,24,24,24,24,96,48,0.917,0.958,0.792,1,0.958,0.08299999999999996,NA
ds002236_sub-0058,22,18,20,24,46,24,24,24,24,96,48,0.917,0.75,0.833,1,0.958,0.08299999999999996,NA
ds002236_sub-0059,19,11,14,21,40,24,24,24,24,96,48,0.792,0.458,0.583,0.875,0.833,0.08299999999999996,NA
ds002236_sub-0060,21,8,1,22,43,24,24,24,24,96,48,0.875,0.333,0.042,0.917,0.896,0.04200000000000004,NA
ds002236_sub-0061,24,23,17,22,46,24,24,24,24,96,48,1,0.958,0.708,0.917,0.958,0.08299999999999996,NA
ds002236_sub-0062,24,20,9,20,44,24,24,24,24,96,48,1,0.833,0.375,0.833,0.917,0.16700000000000004,NA
ds002236_sub-0063,14,7,7,20,34,24,24,24,24,96,48,0.583,0.292,0.292,0.833,0.708,0.25,NA
ds002236_sub-0064,18,11,10,24,42,24,24,24,24,96,48,0.75,0.458,0.417,1,0.875,0.25,NA
ds002236_sub-0065,16,6,4,18,34,24,24,24,24,96,48,0.667,0.25,0.167,0.75,0.708,0.08299999999999996,NA
ds002236_sub-0066,23,22,20,24,47,24,24,24,24,96,48,0.958,0.917,0.833,1,0.979,0.04200000000000004,NA
ds002236_sub-0068,20,11,5,21,41,24,24,24,24,96,48,0.833,0.458,0.208,0.875,0.854,0.04200000000000004,NA
ds002236_sub-0069,16,11,7,22,38,24,24,24,24,96,48,0.667,0.458,0.292,0.917,0.792,0.25,NA
ds002236_sub-0070,9,15,11,12,21,24,24,24,24,96,48,0.375,0.625,0.458,0.5,0.438,0.125,accuracy < 0.5 for O+P+ & O-P- across runs
ds002236_sub-0071,14,12,6,19,33,24,24,24,24,96,48,0.583,0.5,0.25,0.792,0.688,0.20900000000000007,NA
ds002236_sub-0072,7,5,20,21,28,24,24,24,24,96,48,0.292,0.208,0.833,0.875,0.583,0.583,response bias between O+P+ & O-P-
ds002236_sub-0073,18,10,4,12,30,24,24,24,24,96,48,0.75,0.417,0.167,0.5,0.625,0.25,NA
ds002236_sub-0074,21,12,7,22,43,24,24,24,24,96,48,0.875,0.5,0.292,0.917,0.896,0.04200000000000004,NA
ds002236_sub-0075,20,19,8,24,44,24,24,24,24,96,48,0.833,0.792,0.333,1,0.917,0.16700000000000004,NA
ds002236_sub-0076,20,13,15,18,38,24,24,24,24,96,48,0.833,0.542,0.625,0.75,0.792,0.08299999999999996,NA
ds002236_sub-0077,23,23,14,24,47,24,24,24,24,96,48,0.958,0.958,0.583,1,0.979,0.04200000000000004,NA
ds002236_sub-0079,18,9,14,22,40,24,24,24,24,96,48,0.75,0.375,0.583,0.917,0.833,0.16700000000000004,NA
ds002236_sub-0080,16,10,15,16,32,24,24,24,24,96,48,0.667,0.417,0.625,0.667,0.667,0,NA
ds002236_sub-0081,17,8,3,20,37,24,24,24,24,96,48,0.708,0.333,0.125,0.833,0.771,0.125,NA
ds002236_sub-0082,17,16,8,12,29,24,24,24,24,96,48,0.708,0.667,0.333,0.5,0.604,0.20799999999999996,NA
ds002236_sub-0083,18,14,15,23,41,24,24,24,24,96,48,0.75,0.583,0.625,0.958,0.854,0.20799999999999996,NA
ds002236_sub-0084,20,18,5,22,42,24,24,24,24,96,48,0.833,0.75,0.208,0.917,0.875,0.08400000000000007,NA
ds002236_sub-0090,20,15,13,23,43,24,24,24,24,96,48,0.833,0.625,0.542,0.958,0.896,0.125,NA
ds002236_sub-0091,12,15,1,5,17,24,24,24,24,96,48,0.5,0.625,0.042,0.208,0.354,0.29200000000000004,accuracy < 0.5 for O+P+ & O-P- across runs
