unique_id,n_correct_O+P+,n_correct_O+P-,n_correct_O-P+,n_correct_O-P-,n_correct_nci,n_trial_O+P+,n_trial_O+P-,n_trial_O-P+,n_trial_O-P-,n_trial,n_trial_nci,mean_acc_O+P+,mean_acc_O+P-,mean_acc_O-P+,mean_acc_O-P-,mean_acc_nci,response_bias,exclude
ds001486_sub-0088,10,6,5,14,24,12,10,10,14,46,26,0.833,0.6,0.5,1,0.923,0.16700000000000004,NA
ds001486_sub-0089,9,7,10,12,21,12,10,10,14,46,26,0.75,0.7,1,0.857,0.808,0.10699999999999998,NA
ds001486_sub-0090,11,5,9,14,25,12,10,10,14,46,26,0.917,0.5,0.9,1,0.962,0.08299999999999996,NA
ds001486_sub-0091,11,7,8,13,24,12,10,10,14,46,26,0.917,0.7,0.8,0.929,0.923,0.01200000000000001,NA
ds001486_sub-0092,12,3,10,7,19,12,9,10,14,45,26,1,0.333,1,0.5,0.731,0.5,response bias between O+P+ & O-P-
ds001486_sub-0093,12,3,8,13,25,12,9,10,13,44,25,1,0.333,0.8,1,1,0,NA
ds001486_sub-0094,12,1,8,10,22,12,10,10,14,46,26,1,0.1,0.8,0.714,0.846,0.28600000000000003,NA
ds001486_sub-0095,11,3,8,11,22,12,10,10,14,46,26,0.917,0.3,0.8,0.786,0.846,0.131,NA
ds001486_sub-0096,7,5,5,14,21,12,9,10,14,45,26,0.583,0.556,0.5,1,0.808,0.41700000000000004,NA
ds001486_sub-0097,11,2,8,13,24,12,9,10,14,45,26,0.917,0.222,0.8,0.929,0.923,0.01200000000000001,NA
ds001486_sub-0098,8,2,8,3,11,12,9,9,10,40,22,0.667,0.222,0.889,0.3,0.5,0.36700000000000005,NA
ds001486_sub-0100,9,6,6,12,21,11,10,9,14,44,25,0.818,0.6,0.667,0.857,0.84,0.039000000000000035,NA
ds001486_sub-0101,12,7,10,11,23,12,10,10,14,46,26,1,0.7,1,0.786,0.885,0.21399999999999997,NA
ds001486_sub-0102,11,5,9,11,22,12,10,10,13,45,25,0.917,0.5,0.9,0.846,0.88,0.07100000000000006,NA
ds001486_sub-0103,11,6,9,13,24,11,10,10,13,44,24,1,0.6,0.9,1,1,0,NA
ds001486_sub-0104,11,7,5,12,23,12,10,10,13,45,25,0.917,0.7,0.5,0.923,0.92,0.006000000000000005,NA
ds001486_sub-0105,11,5,8,11,22,12,10,9,13,44,25,0.917,0.5,0.889,0.846,0.88,0.07100000000000006,NA
ds001486_sub-0106,10,7,4,14,24,12,10,10,14,46,26,0.833,0.7,0.4,1,0.923,0.16700000000000004,NA
ds001486_sub-0107,11,1,9,5,16,12,10,10,14,46,26,0.917,0.1,0.9,0.357,0.615,0.56,response bias between O+P+ & O-P-
ds001486_sub-0108,11,3,7,14,25,12,9,10,14,45,26,0.917,0.333,0.7,1,0.962,0.08299999999999996,NA
ds001486_sub-0109,11,7,5,12,23,12,10,10,14,46,26,0.917,0.7,0.5,0.857,0.885,0.06000000000000005,NA
ds001486_sub-0110,8,4,6,8,16,9,10,7,9,35,18,0.889,0.4,0.857,0.889,0.889,0,NA
ds001486_sub-0111,0,0,0,0,0,12,10,10,14,46,26,0,0,0,0,0,0,accuracy < 0.5 for O+P+ & O-P- across runs
ds001486_sub-0112,11,7,8,12,23,11,10,9,13,43,24,1,0.7,0.889,0.923,0.958,0.07699999999999996,NA
ds001486_sub-0113,9,1,9,9,18,11,9,10,13,43,24,0.818,0.111,0.9,0.692,0.75,0.126,NA
ds001486_sub-0114,8,4,9,14,22,12,10,10,14,46,26,0.667,0.4,0.9,1,0.846,0.33299999999999996,NA
ds001486_sub-0115,11,10,6,14,25,12,10,8,14,44,26,0.917,1,0.75,1,0.962,0.08299999999999996,NA
ds001486_sub-0116,9,4,1,10,19,12,10,10,12,44,24,0.75,0.4,0.1,0.833,0.792,0.08299999999999996,NA
ds001486_sub-0117,11,5,8,8,19,11,8,10,12,41,23,1,0.625,0.8,0.667,0.826,0.33299999999999996,NA
ds001486_sub-0118,12,6,8,12,24,12,10,10,14,46,26,1,0.6,0.8,0.857,0.923,0.14300000000000002,NA
ds001486_sub-0119,8,2,8,7,15,8,7,10,9,34,17,1,0.286,0.8,0.778,0.882,0.22199999999999998,NA
ds001486_sub-0120,12,6,9,14,26,12,10,10,14,46,26,1,0.6,0.9,1,1,0,NA
ds001486_sub-0121,9,0,8,3,12,11,9,9,12,41,23,0.818,0,0.889,0.25,0.522,0.568,response bias between O+P+ & O-P-
ds001486_sub-0122,9,4,10,13,22,11,10,10,13,44,24,0.818,0.4,1,1,0.917,0.18200000000000005,NA
ds001486_sub-0123,12,7,8,14,26,12,10,10,14,46,26,1,0.7,0.8,1,1,0,NA
ds001486_sub-0124,12,0,6,11,23,12,10,9,14,45,26,1,0,0.667,0.786,0.885,0.21399999999999997,NA
ds001486_sub-0125,10,2,6,9,19,12,9,9,13,43,25,0.833,0.222,0.667,0.692,0.76,0.14100000000000001,NA
ds001486_sub-0126,9,6,7,13,22,12,10,10,14,46,26,0.75,0.6,0.7,0.929,0.846,0.17900000000000005,NA
ds001486_sub-0127,11,6,10,12,23,12,10,10,14,46,26,0.917,0.6,1,0.857,0.885,0.06000000000000005,NA
ds001486_sub-0128,11,6,9,11,22,12,10,10,14,46,26,0.917,0.6,0.9,0.786,0.846,0.131,NA
ds001486_sub-0129,12,6,3,14,26,12,10,10,14,46,26,1,0.6,0.3,1,1,0,NA
ds001486_sub-0130,8,6,3,13,21,11,10,10,14,45,25,0.727,0.6,0.3,0.929,0.84,0.20200000000000007,NA
ds001486_sub-0131,11,7,8,13,24,12,10,10,14,46,26,0.917,0.7,0.8,0.929,0.923,0.01200000000000001,NA
ds001486_sub-0132,12,7,10,13,25,12,10,10,14,46,26,1,0.7,1,0.929,0.962,0.07099999999999995,NA
