unique_id,dataset,subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03
ds001486_sub-0004,ds001486,sub-004,sub-004_ses-T1_task-Rhyming_bold,0,0.0,0,0.157571707568966,12,0.0689655172413793
ds001486_sub-0005,ds001486,sub-005,sub-005_ses-T1_task-Rhyming_bold,4,0.0217391304347826,0,0.2686358679275,30,0.16304347826087
ds001486_sub-0006,ds001486,sub-006,sub-006_ses-T1_task-Rhyming_bold,0,0.0,0,0.196929222348276,24,0.137931034482759
ds001486_sub-0007,ds001486,sub-007,sub-007_ses-T1_task-Rhyming_bold,0,0.0,0,0.142496430198163,6,0.0326086956521739
ds001486_sub-0008,ds001486,sub-008,sub-008_ses-T1_task-Rhyming_bold,0,0.0,0,0.0995930986860222,8,0.0444444444444444
ds001486_sub-0009,ds001486,sub-009,sub-009_ses-T1_task-Rhyming_bold,0,0.0,0,0.161858218522844,23,0.127777777777778
ds001486_sub-0010,ds001486,sub-010,sub-010_ses-T1_task-Rhyming_bold,0,0.0,0,0.182737345680989,17,0.0977011494252874
ds001486_sub-0012,ds001486,sub-012,sub-012_ses-T1_task-Rhyming_bold,0,0.0,0,0.0891229430823793,2,0.0114942528735632
ds001486_sub-0013,ds001486,sub-013,sub-013_ses-T1_task-Rhyming_bold,16,0.0879120879120879,0,0.413749592420879,51,0.28021978021978
ds001486_sub-0014,ds001486,sub-014,sub-014_ses-T1_task-Rhyming_bold,8,0.0459770114942529,0,0.268745154450919,27,0.155172413793103
ds001486_sub-0015,ds001486,sub-015,sub-015_ses-T1_task-Rhyming_bold,7,0.0384615384615385,0,0.333472297375,37,0.203296703296703
ds001486_sub-0016,ds001486,sub-016,sub-016_ses-T1_task-Rhyming_bold,0,0.0,0,0.15763933614094,10,0.0549450549450549
ds001486_sub-0017,ds001486,sub-017,sub-017_ses-T1_task-Rhyming_bold,0,0.0,0,0.246339179363111,27,0.15
ds001486_sub-0018,ds001486,sub-018,sub-018_ses-T1_task-Rhyming_bold,0,0.0,0,0.0702220634585057,3,0.0172413793103448
ds001486_sub-0019,ds001486,sub-019,sub-019_ses-T1_task-Rhyming_bold,0,0.0,0,0.170118878071609,16,0.0919540229885057
ds001486_sub-0020,ds001486,sub-020,sub-020_ses-T1_task-Rhyming_bold,1,0.0055555555555555,0,0.547571627875555,119,0.661111111111111
ds001486_sub-0021,ds001486,sub-021,sub-021_ses-T1_task-Rhyming_bold,6,0.0344827586206897,0,0.430675266216207,82,0.471264367816092
ds001486_sub-0022,ds001486,sub-022,sub-022_ses-T1_task-Rhyming_bold,0,0.0,0,0.196025462892069,17,0.0977011494252874
ds001486_sub-0023,ds001486,sub-023,sub-023_ses-T1_task-Rhyming_bold,0,0.0,0,0.120352979353218,1,0.0057471264367816
ds001486_sub-0024,ds001486,sub-024,sub-024_ses-T1_task-Rhyming_bold,0,0.0,0,0.314373066794483,66,0.379310344827586
