unique_id,dataset,subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03,num_volume
ds006239_sub-1247,ds006239,sub-1247,sub-1247_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,5,0.0256410256410256,0,0.325182617963005,55,0.282051282051282,195
ds006239_sub-1247,ds006239,sub-1247,sub-1247_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,4,0.0205128205128205,0,0.323218975339179,47,0.241025641025641,195
ds006239_sub-1248,ds006239,sub-1248,sub-1248_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.128606589604308,9,0.0461538461538462,195
ds006239_sub-1248,ds006239,sub-1248,sub-1248_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.117995589649728,10,0.0512820512820513,195
ds006239_sub-1250,ds006239,sub-1250,sub-1250_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.147064721169744,3,0.0153846153846154,195
ds006239_sub-1250,ds006239,sub-1250,sub-1250_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.185611383470128,14,0.0717948717948718,195
ds006239_sub-1252,ds006239,sub-1252,sub-1252_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.101425643285641,3,0.0153846153846154,195
ds006239_sub-1252,ds006239,sub-1252,sub-1252_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,2,0.0102564102564103,0,0.174990730448523,14,0.0717948717948718,195
ds006239_sub-1255,ds006239,sub-1255,sub-1255_ses-1_task-ReadPhon_acq-D2S0601_run-1_bold,6,0.0307692307692308,0,0.305342775745338,36,0.184615384615385,195
ds006239_sub-1255,ds006239,sub-1255,sub-1255_ses-1_task-ReadPhon_acq-D2S1101_run-2_bold,12,0.0615384615384615,0,0.494604783200308,83,0.425641025641026,195
ds006239_sub-1255,ds006239,sub-1255,sub-1255_ses-1_task-ReadPhon_acq-D3S0401_run-1_bold,7,0.0358974358974359,0,0.428801180810544,67,0.343589743589744,195
ds006239_sub-1277,ds006239,sub-1277,sub-1277_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.145424275513487,7,0.0358974358974359,195
ds006239_sub-1277,ds006239,sub-1277,sub-1277_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.156327921875482,7,0.0358974358974359,195
ds006239_sub-1278,ds006239,sub-1278,sub-1278_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.258737902564769,58,0.297435897435897,195
ds006239_sub-1278,ds006239,sub-1278,sub-1278_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,4,0.0205128205128205,0,0.373413730100205,74,0.379487179487179,195
ds006239_sub-1283,ds006239,sub-1283,sub-1283_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.175388359285128,7,0.0358974358974359,195
ds006239_sub-1283,ds006239,sub-1283,sub-1283_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.138909285634615,0,0,195
ds006239_sub-1284,ds006239,sub-1284,sub-1284_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,10,0.0512820512820513,0,0.62585630346,135,0.692307692307692,195
ds006239_sub-1284,ds006239,sub-1284,sub-1284_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,20,0.102564102564103,1,0.701810052482051,124,0.635897435897436,195
ds006239_sub-1288,ds006239,sub-1288,sub-1288_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.123527883144615,2,0.0102564102564103,195
ds006239_sub-1288,ds006239,sub-1288,sub-1288_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.113147174140718,1,0.00512820512820513,195
ds006239_sub-1289,ds006239,sub-1289,sub-1289_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,0,0,0,0.286423618047795,61,0.312820512820513,195
ds006239_sub-1289,ds006239,sub-1289,sub-1289_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.32839285074559,76,0.38974358974359,195
ds006239_sub-1291,ds006239,sub-1291,sub-1291_ses-1_task-ReadPhon_acq-D2S0201_run-1_bold,2,0.0102564102564103,0,0.276325558774913,45,0.230769230769231,195
ds006239_sub-1291,ds006239,sub-1291,sub-1291_ses-1_task-ReadPhon_acq-D2S0301_run-2_bold,0,0,0,0.162593732914256,13,0.0666666666666667,195
