subject_id,run_name,repaired_num,repaired_perc,chunks_num,FD_mean,FD_num_03,FD_perc_03
sub-38,sub-38_task-VisRhyme_run-02_bold,0,0,0,0.142805513555817,11,0.0458333333333333
sub-39,sub-39_task-VisRhyme_run-01_bold,60,0.25,2,1.83363223433792,174,0.725
sub-39,sub-39_task-VisRhyme_run-02_bold,30,0.125,0,0.812583871040083,91,0.379166666666667
sub-41,sub-41_task-VisRhyme_run-01_bold,0,0,0,0.112935892061936,12,0.05
sub-41,sub-41_task-VisRhyme_run-02_bold,2,0.00833333333333333,0,0.152354743235125,15,0.0625
sub-42,sub-42_task-VisRhyme_run-01_bold,0,0,0,0.354466209184583,131,0.545833333333333
sub-42,sub-42_task-VisRhyme_run-02_bold,0,0,0,0.220684156988667,39,0.1625
sub-43,sub-43_task-VisRhyme_run-01_bold,0,0,0,0.366946359156417,102,0.425
sub-43,sub-43_task-VisRhyme_run-02_bold,0,0,0,0.212807931095,44,0.183333333333333
sub-44,sub-44_task-VisRhyme_run-01_bold,0,0,0,0.482551022188667,164,0.683333333333333
sub-44,sub-44_task-VisRhyme_run-02_bold,0,0,0,0.1596195038625,22,0.0916666666666667
sub-45,sub-45_task-VisRhyme_run-01_bold,0,0,0,0.126696003311083,9,0.0375
sub-45,sub-45_task-VisRhyme_run-02_bold,0,0,0,0.170085432170133,31,0.129166666666667
sub-46,sub-46_task-VisRhyme_run-01_bold,0,0,0,0.1581662391025,17,0.0708333333333333
sub-46,sub-46_task-VisRhyme_run-02_bold,0,0,0,0.182936761758167,35,0.145833333333333
sub-47,sub-47_task-VisRhyme_run-01_bold,0,0,0,0.107975898191708,2,0.00833333333333333
sub-47,sub-47_task-VisRhyme_run-02_bold,0,0,0,0.0887108294614167,0,0
sub-48,sub-48_task-VisRhyme_run-01_bold,0,0,0,0.1224292042475,5,0.0208333333333333
sub-48,sub-48_task-VisRhyme_run-02_bold,0,0,0,0.136105729947888,3,0.0125
sub-49,sub-49_task-VisRhyme_run-01_bold,0,0,0,0.182872025316833,36,0.15
sub-49,sub-49_task-VisRhyme_run-02_bold,2,0.00833333333333333,0,0.274621130981583,62,0.258333333333333
sub-50,sub-50_task-VisRhyme_run-01_bold,2,0.00833333333333333,0,0.155762080683471,19,0.0791666666666667
sub-50,sub-50_task-VisRhyme_run-02_bold,0,0,0,0.112905936882392,4,0.0166666666666667
sub-51,sub-51_task-VisRhyme_run-01_bold,0,0,0,0.219730421634167,51,0.2125
sub-51,sub-51_task-VisRhyme_run-02_bold,0,0,0,0.111918690399458,17,0.0708333333333333
sub-52,sub-52_task-VisRhyme_run-01_bold,0,0,0,0.0846855188171417,1,0.00416666666666667
sub-52,sub-52_task-VisRhyme_run-02_bold,0,0,0,0.0883833168534166,2,0.00833333333333333
sub-53,sub-53_task-VisRhyme_run-01_bold,0,0,0,0.168100108015833,12,0.05
sub-53,sub-53_task-VisRhyme_run-02_bold,0,0,0,0.199171545531625,25,0.104166666666667
sub-55,sub-55_task-VisRhyme_run-01_bold,21,0.0875,0,0.614237924760333,66,0.275
sub-55,sub-55_task-VisRhyme_run-02_bold,0,0,0,0.21476261064475,34,0.141666666666667
sub-56,sub-56_task-VisRhyme_run-01_bold,0,0,0,0.158923853401458,19,0.0791666666666667
sub-56,sub-56_task-VisRhyme_run-02_bold,0,0,0,0.165013496319688,23,0.0958333333333333
sub-57,sub-57_task-VisRhyme_run-01_bold,0,0,0,0.088850778851525,1,0.00416666666666667
sub-57,sub-57_task-VisRhyme_run-02_bold,0,0,0,0.088128451465525,2,0.00833333333333333
sub-58,sub-58_task-VisRhyme_run-01_bold,0,0,0,0.379189429187875,128,0.533333333333333
sub-58,sub-58_task-VisRhyme_run-02_bold,0,0,0,0.324377057887083,93,0.3875
sub-59,sub-59_task-VisRhyme_run-01_bold,2,0.00833333333333333,0,0.324524273837083,98,0.408333333333333
sub-59,sub-59_task-VisRhyme_run-02_bold,0,0,0,0.353778512134583,116,0.483333333333333
sub-60,sub-60_task-VisRhyme_run-01_bold,0,0,0,0.0948543129932667,1,0.00416666666666667
sub-60,sub-60_task-VisRhyme_run-02_bold,0,0,0,0.122846257829583,8,0.0333333333333333
